架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00001,U07,C,C-B01,0.0,510.0,1561.4267416985467,S001,2.9262373909118784,63.42203261360152,7,3187.2827017371806
P00003,U06,B,B-B04,2112.0,2502.0,3931.8900418657418,S002,2.72189802120557,31.95254946986075,3,5778.045851054822
P00005,U08,C,C-B02,0.0,450.0,2045.0081265825384,S002,5.739333605245894,28.258329934426328,5,4432.744311336634
P00009,U07,C,C-B01,3976.0,4456.0,6281.185491467791,S004,6.176858606791459,22.789267415106764,6,8787.418030807145
P00010,U08,C,C-B02,5459.0,5939.0,7339.045617096052,S005,4.238735064547415,47.01581169315732,6,9320.369697077644
P00014,U06,B,B-B04,5779.0,6169.0,7339.77979054711,S009,2.102431078237294,47.439223044067646,3,8917.499924449938
P00018,U05,B,B-B03,5991.0,6381.0,7180.6308045644855,S011,1.0771461381899774,73.07134654525056,3,8314.060797780143
P00020,U06,B,B-B02,39.0,429.0,1962.8014006521175,S012,2.7551934702444854,31.120163243887866,3,3823.3852377580615
P00024,U05,B,B-B01,0.0,390.0,1868.5984478690452,S014,2.1372327174195584,46.56918206451104,3,3461.3992920841874
P00026,U06,B,B-B01,3949.0,4339.0,5778.574101016009,S015,2.3108457316251445,42.228856709371385,3,7446.607251386905
P00028,U05,B,B-B03,2064.0,2454.0,4029.890111994297,S008,2.9859801601513647,25.350495996215884,3,5990.481514726555
P00030,U05,B,B-B02,4030.0,4390.0,5935.890111994297,S008,2.7734260330711873,30.664349173220316,2,7804.374726325144
P00041,U03,A,A-B01,2037.0,2397.0,4299.278664396717,S003,2.98110828373102,33.75314925042178,2,5660.487724141234
P00044,U08,C,C-B04,2046.0,2526.0,4481.810858112425,S003,6.1476824567455175,23.153969290681033,6,6980.141523481003
P00053,U01,A,A-B05,1193.0,1553.0,2505.6157157640037,S006,1.3095542466968424,70.89879451784795,2,3383.93138703198
P00057,U02,A,A-B06,2004.0,2364.0,3731.3186397361906,S007,1.9050428648829452,57.665714113712326,2,4781.66435625793
P00071,U02,A,A-B02,0.0,360.0,1653.8535692154742,S010,1.9524999797660452,56.61111156075456,2,2717.909118925665
P00089,U03,A,A-B03,5.0,365.0,1617.0245081229918,S013,1.9577132427346737,56.495261272562814,2,2682.586111579675
P00107,U04,A,A-B04,5.0,365.0,2014.9934553294233,S013→S010,2.2463659463996954,50.08075674667343,2,3163.943617622669
P00118,U07,C,C-B03,1562.0,2072.0,3975.779412820788,S006→S007,4.28806196620504,46.399225422437,7,5970.46286200132
P00140,U04,A,A-B02,2719.0,3049.0,3911.4715825390367,S001,1.22305291301593,72.82104637742377,1,4764.797979632528
P00143,U02,A,A-B04,3732.0,4062.0,4924.471582539037,S001,1.22305291301593,72.82104637742377,1,5777.797979632528
P00146,U01,A,A-B03,2684.0,3014.0,3876.4715825390367,S001,1.22305291301593,72.82104637742377,1,4729.797979632528
P00149,U04,A,A-B02,4766.0,5096.0,5958.471582539037,S001,1.1900228860939692,73.55504697568958,1,6802.255971855072
P00152,U01,A,A-B01,0.0,330.0,1192.4715825390365,S001,1.1900228860939692,73.55504697568958,1,2036.255971855072
P00155,U03,A,A-B03,4731.0,5061.0,5923.471582539037,S001,1.1900228860939692,73.55504697568958,1,6767.255971855072
P00158,U02,A,A-B06,4925.0,5255.0,6117.471582539037,S001,1.1814885834334319,73.74469814592373,1,6958.790506642028
P00161,U01,A,A-B05,3877.0,4207.0,5069.471582539037,S001,1.1814885834334319,73.74469814592373,1,5910.790506642028
