reserve_fraction,horizontal_energy_scale,site,aircraft,max_safe_payload_kg,route_distance_m,cruise_altitude_m,empty_round_trip_energy_kwh,max_payload_round_trip_energy_kwh,empty_round_trip_feasible
0.2,1.0,S001,A,25.0,3063.411326288906,273.0566101074219,1.1649100946018893,1.3165122674842529,True
0.2,1.0,S001,B,30.0,3063.411326288906,273.0566101074219,0.9329079662820075,1.2776290042236256,True
0.2,1.0,S001,C,80.0,3063.411326288906,273.0566101074219,1.9471695293351448,3.090851368702457,True
0.2,1.0,S002,A,25.0,7435.278518338766,308.9542541503906,2.7483947309171373,3.1001263328328905,True
0.2,1.0,S002,B,30.0,7435.278518338766,308.9542541503906,2.190938722103745,3.00814858852008,True
0.2,1.0,S002,C,68.55430084833452,7435.278518338766,308.9542541503906,4.647148054937269,6.4,True
0.2,1.0,S003,A,25.0,7261.075570364676,561.8041381835938,2.7880952690429117,3.1559037328528228,True
0.2,1.0,S003,B,30.0,7261.075570364676,561.8041381835938,2.2362647935507054,3.063509251861978,True
0.2,1.0,S003,C,68.23549018466188,7261.075570364676,561.8041381835938,4.64221353505382,6.3999999999999995,True
0.2,1.0,S004,A,25.0,7745.662441501595,398.2391662597656,2.9050947979113255,3.279238756262706,True
0.2,1.0,S004,B,30.0,7745.662441501595,398.2391662597656,2.321370136616153,3.1819695192433235,True
0.2,1.0,S004,C,63.25931100733154,7745.662441501595,398.2391662597656,4.883051169549027,6.4,True
0.2,1.0,S005,A,25.0,5302.02013115008,326.410888671875,1.996156726745343,2.2535428500120083,True
0.2,1.0,S005,B,30.0,5302.02013115008,326.410888671875,1.596047411321957,2.186675257640217,True
0.2,1.0,S005,C,80.0,5302.02013115008,326.410888671875,3.350086199444121,5.313520172860585,True
0.2,1.0,S006,A,25.0,3181.0333082558964,366.09783935546875,1.221895019110295,1.3875905551279843,True
0.2,1.0,S006,B,30.0,3181.0333082558964,366.09783935546875,0.9801094713442735,1.347993313232814,True
0.2,1.0,S006,C,80.0,3181.0333082558964,366.09783935546875,2.034172382738966,3.2482386943139674,True
0.2,1.0,S007,A,25.0,4533.827897987457,511.9731750488281,1.7772432331261645,2.0176122529269254,True
0.2,1.0,S007,B,30.0,4533.827897987457,511.9731750488281,1.4300827900006192,1.9594661820545798,True
0.2,1.0,S007,C,80.0,4533.827897987457,511.9731750488281,2.9349058910882295,4.678743500520582,True
0.2,1.0,S008,A,25.0,8109.473184927932,372.9093322753906,3.011367767164405,3.3994873677619957,True
0.2,1.0,S008,B,28.632453771565512,8109.473184927932,372.9093322753906,2.402381371956162,3.2,True
0.2,1.0,S008,C,58.435840766971026,8109.473184927932,372.9093322753906,5.082271089725376,6.4,True
0.2,1.0,S009,A,25.0,5722.680393214653,293.2289123535156,2.1207491832688588,2.393926476391099,True
0.2,1.0,S009,B,30.0,5722.680393214653,293.2289123535156,1.6913083367935142,2.323240675151039,True
