K,group,resource,task_id,start_s,end_s,half_open
2,1,A_airframe,P00041,2037.0,4299.278664396717,True
2,1,A_airframe,P00053,1193.0,2505.6157157640037,True
2,1,A_airframe,P00057,2004.0,3731.3186397361906,True
2,1,A_airframe,P00071,0.0,1653.8535692154742,True
2,1,A_airframe,P00089,5.0,1617.0245081229918,True
2,1,A_airframe,P00107,5.0,2014.9934553294233,True
2,1,A_airframe,P00140,2719.0,3911.4715825390367,True
2,1,A_airframe,P00143,3732.0,4924.471582539037,True
2,1,A_airframe,P00146,2684.0,3876.4715825390367,True
2,1,A_airframe,P00149,4766.0,5958.471582539037,True
2,1,A_airframe,P00152,0.0,1192.4715825390365,True
2,1,A_airframe,P00155,4731.0,5923.471582539037,True
2,1,A_airframe,P00158,4925.0,6117.471582539037,True
2,1,A_airframe,P00161,3877.0,5069.471582539037,True
2,1,B_airframe,P00003,2112.0,3931.8900418657418,True
2,1,B_airframe,P00014,5779.0,7339.77979054711,True
2,2,B_airframe,P00018,5991.0,7180.6308045644855,True
2,1,B_airframe,P00020,39.0,1962.8014006521175,True
2,1,B_airframe,P00024,0.0,1868.5984478690452,True
2,1,B_airframe,P00026,3949.0,5778.574101016009,True
2,1,B_airframe,P00028,2064.0,4029.890111994297,True
2,1,B_airframe,P00030,4030.0,5935.890111994297,True
2,1,C_airframe,P00001,0.0,1561.4267416985467,True
2,1,C_airframe,P00005,0.0,2045.0081265825384,True
2,1,C_airframe,P00009,3976.0,6281.185491467791,True
2,1,C_airframe,P00010,5459.0,7339.045617096052,True
2,1,C_airframe,P00044,2046.0,4481.810858112425,True
2,1,C_airframe,P00118,1562.0,3975.779412820788,True
2,1,A_battery,P00041,2037.0,5660.487724141234,True
2,1,A_battery,P00053,1193.0,3383.93138703198,True
2,1,A_battery,P00057,2004.0,4781.66435625793,True
2,1,A_battery,P00071,0.0,2717.909118925665,True
2,1,A_battery,P00089,5.0,2682.586111579675,True
2,1,A_battery,P00107,5.0,3163.943617622669,True
2,1,A_battery,P00140,2719.0,4764.797979632528,True
2,1,A_battery,P00143,3732.0,5777.797979632528,True
2,1,A_battery,P00146,2684.0,4729.797979632528,True
2,1,A_battery,P00149,4766.0,6802.255971855072,True
2,1,A_battery,P00152,0.0,2036.255971855072,True
2,1,A_battery,P00155,4731.0,6767.255971855072,True
2,1,A_battery,P00158,4925.0,6958.790506642028,True
2,1,A_battery,P00161,3877.0,5910.790506642028,True
2,1,B_battery,P00003,2112.0,5778.045851054822,True
2,1,B_battery,P00014,5779.0,8917.499924449938,True
2,2,B_battery,P00018,5991.0,8314.060797780143,True
2,1,B_battery,P00020,39.0,3823.3852377580615,True
2,1,B_battery,P00024,0.0,3461.3992920841874,True
2,1,B_battery,P00026,3949.0,7446.607251386905,True
2,1,B_battery,P00028,2064.0,5990.481514726555,True
2,1,B_battery,P00030,4030.0,7804.374726325144,True
2,1,C_battery,P00001,0.0,3187.2827017371806,True
2,1,C_battery,P00005,0.0,4432.744311336634,True
2,1,C_battery,P00009,3976.0,8787.418030807145,True
2,1,C_battery,P00010,5459.0,9320.369697077644,True
2,1,C_battery,P00044,2046.0,6980.141523481003,True
2,1,C_battery,P00118,1562.0,5970.46286200132,True
2,1,relay_airframe,RU-001,48.44458569527194,2564.3541773255615,True
2,1,relay_airframe,RU-002,1972.78248886549,5017.069623968169,True
2,1,relay_airframe,RU-003,3827.5777415373595,6858.132235676182,True
2,1,relay_airframe,RU-004,5787.604169505274,7624.5910689896,True
2,1,relay_energy,RU-001,48.44458569527194,3001.466074159273,True
2,1,relay_energy,RU-002,1972.78248886549,5508.847424499619,True
2,1,relay_energy,RU-003,3827.5777415373595,7347.141834286609,True
2,1,relay_energy,RU-004,5787.604169505274,7982.441804402589,True
3,1,A_airframe,P00041,2037.0,4299.278664396717,True
3,1,A_airframe,P00053,1193.0,2505.6157157640037,True
3,1,A_airframe,P00057,2004.0,3731.3186397361906,True
3,1,A_airframe,P00071,0.0,1653.8535692154742,True
3,1,A_airframe,P00089,5.0,1617.0245081229918,True
3,1,A_airframe,P00107,5.0,2014.9934553294233,True
3,1,A_airframe,P00140,2719.0,3911.4715825390367,True
3,1,A_airframe,P00143,3732.0,4924.471582539037,True
3,1,A_airframe,P00146,2684.0,3876.4715825390367,True
3,1,A_airframe,P00149,4766.0,5958.471582539037,True
3,1,A_airframe,P00152,0.0,1192.4715825390365,True
3,1,A_airframe,P00155,4731.0,5923.471582539037,True
3,1,A_airframe,P00158,4925.0,6117.471582539037,True
3,1,A_airframe,P00161,3877.0,5069.471582539037,True
3,1,B_airframe,P00003,2112.0,3931.8900418657418,True
3,2,B_airframe,P00014,5779.0,7339.77979054711,True
3,3,B_airframe,P00018,5991.0,7180.6308045644855,True
3,1,B_airframe,P00020,39.0,1962.8014006521175,True
3,1,B_airframe,P00024,0.0,1868.5984478690452,True
3,1,B_airframe,P00026,3949.0,5778.574101016009,True
3,1,B_airframe,P00028,2064.0,4029.890111994297,True
3,1,B_airframe,P00030,4030.0,5935.890111994297,True
3,1,C_airframe,P00001,0.0,1561.4267416985467,True
3,1,C_airframe,P00005,0.0,2045.0081265825384,True
3,1,C_airframe,P00009,3976.0,6281.185491467791,True
3,2,C_airframe,P00010,5459.0,7339.045617096052,True
3,1,C_airframe,P00044,2046.0,4481.810858112425,True
3,1,C_airframe,P00118,1562.0,3975.779412820788,True
3,1,A_battery,P00041,2037.0,5660.487724141234,True
3,1,A_battery,P00053,1193.0,3383.93138703198,True
3,1,A_battery,P00057,2004.0,4781.66435625793,True
3,1,A_battery,P00071,0.0,2717.909118925665,True
3,1,A_battery,P00089,5.0,2682.586111579675,True
3,1,A_battery,P00107,5.0,3163.943617622669,True
3,1,A_battery,P00140,2719.0,4764.797979632528,True
3,1,A_battery,P00143,3732.0,5777.797979632528,True
3,1,A_battery,P00146,2684.0,4729.797979632528,True
3,1,A_battery,P00149,4766.0,6802.255971855072,True
3,1,A_battery,P00152,0.0,2036.255971855072,True
3,1,A_battery,P00155,4731.0,6767.255971855072,True
3,1,A_battery,P00158,4925.0,6958.790506642028,True
3,1,A_battery,P00161,3877.0,5910.790506642028,True
3,1,B_battery,P00003,2112.0,5778.045851054822,True
3,2,B_battery,P00014,5779.0,8917.499924449938,True
3,3,B_battery,P00018,5991.0,8314.060797780143,True
3,1,B_battery,P00020,39.0,3823.3852377580615,True
3,1,B_battery,P00024,0.0,3461.3992920841874,True
3,1,B_battery,P00026,3949.0,7446.607251386905,True
3,1,B_battery,P00028,2064.0,5990.481514726555,True
3,1,B_battery,P00030,4030.0,7804.374726325144,True
3,1,C_battery,P00001,0.0,3187.2827017371806,True
3,1,C_battery,P00005,0.0,4432.744311336634,True
3,1,C_battery,P00009,3976.0,8787.418030807145,True
3,2,C_battery,P00010,5459.0,9320.369697077644,True
3,1,C_battery,P00044,2046.0,6980.141523481003,True
3,1,C_battery,P00118,1562.0,5970.46286200132,True
3,1,relay_airframe,RU-001,48.44458569527194,2564.3541773255615,True
3,1,relay_airframe,RU-002,1972.78248886549,5017.069623968169,True
3,1,relay_airframe,RU-003,3827.5777415373595,6858.132235676182,True
3,2,relay_airframe,RU-004,5787.604169505274,7624.5910689896,True
3,1,relay_energy,RU-001,48.44458569527194,3001.466074159273,True
3,1,relay_energy,RU-002,1972.78248886549,5508.847424499619,True
3,1,relay_energy,RU-003,3827.5777415373595,7347.141834286609,True
3,2,relay_energy,RU-004,5787.604169505274,7982.441804402589,True
