covered_gap_ids,spatial_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s,candidate_group,relay_sortie,relay_drone,energy_component,takeoff_s,arrival_s,drone_ready_s,charge_complete_s
"[1, 2, 3]","[1, 2, 3, 8, 10, 17, 18]","Q23-004,Q23-017,Q23-021",711.6799164156444,1676.219986501386,15.515590210393157,109.2775483,23.0273588,380.7744445800781,680.7744445800781,300.0,0.5753281311509528,82.02099590153273,2208.473849754977,486.1643262052512,532.253863253591,1,R3-001,R01,RE-01,195.51559021039316,681.6799164156444,2508.473849754977,2942.2009030350514
"[4, 5, 6, 7, 9]","[4, 5, 6, 7, 9, 11, 13, 14]","Q23-010,Q23-011,Q23-014,Q23-019,Q23-022",2137.1440024409562,4087.3751389959266,1496.2747708562624,109.2028191,23.0394186,507.341552734375,657.341552734375,150.0,0.8428434120957323,73.66114337200837,4562.381166641818,430.8692315846937,475.0060276458916,1,R3-002,R02,RE-02,1676.2747708562624,2107.1440024409562,4862.381166641818,5404.786302805709
"[8, 10]","[3, 8, 10, 18]","Q23-018,Q23-023",3160.227868569072,4142.344928542324,2603.5627563094845,109.2660168,23.0094009,304.2348327636719,554.2348327636719,250.0,0.5005348554602609,84.35828576686684,4524.554610198884,346.6651122595876,382.20968165656024,1,R3-003,R01,RE-03,2783.5627563094845,3130.227868569072,4824.554610198884,5227.8968952296145
"[11, 12, 13, 14, 15]","[2, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17]","Q23-006,Q23-007,Q23-013,Q23-025",5491.586089499344,7509.904415102967,4824.555462919337,109.2064541,23.0444748,398.6077880859375,698.6077880859375,300.0,0.8774399264806162,72.58000229748075,8014.510690690135,457.03062658000704,504.6062755871685,1,R3-004,R01,RE-01,5004.555462919337,5461.586089499344,8314.510690690135,8870.970660822884
[16],"[2, 16, 17, 20]",Q23-008,6644.602171234741,7277.1343203958095,5955.9370278884235,109.2449305,23.0622453,257.885498046875,307.885498046875,50.0,0.4875245160934467,84.76485887207978,7770.8149219127,478.66514334631785,493.68060151689076,1,R3-005,R02,RE-02,6135.9370278884235,6614.602171234741,8070.8149219127,8468.871756575663
"[17, 18, 19]","[1, 2, 10, 17, 18, 19]","Q23-005,Q23-020,Q23-024",8794.069023629234,9891.728419698633,8101.566158529601,109.2739025,23.0347345,348.79949951171875,648.7994995117188,300.0,0.6159284116728161,80.7522371352245,10417.656243090909,482.50286509963263,525.9278233922759,1,R3-006,R02,RE-03,8281.5661585296,8764.069023629234,10717.656243090909,11167.87716033299
[20],"[2, 16, 17, 20]",Q23-009,9003.17811565206,9778.033459189754,8314.512972305742,109.2449305,23.0622453,257.885498046875,307.885498046875,50.0,0.5310121588196379,83.40587003688631,10271.714060706645,478.66514334631785,493.68060151689076,1,R3-007,R01,RE-04,8494.512972305742,8973.17811565206,10571.714060706645,10987.437750227124
