candidate_group,covered_gap_ids,spatial_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s
1,"[4, 5, 6, 7, 9]","[4, 5, 6, 7, 9, 11, 13, 14]","Q23-010,Q23-011,Q23-014,Q23-019,Q23-022",2137.1440024409562,4087.3751389959266,1496.2747708562624,109.2028191,23.0394186,507.341552734375,657.341552734375,150.0,0.8428434120957323,73.66114337200837,4562.381166641818,430.8692315846937,475.0060276458916
1,"[4, 5, 6, 7, 9]","[4, 5, 6, 7, 9, 11, 13, 14]","Q23-010,Q23-011,Q23-014,Q23-019,Q23-022",2137.1440024409562,4087.3751389959266,1494.3828476660658,109.2023786,23.0394548,506.3517150878906,656.3517150878906,150.0,0.8441222328101409,73.62118022468309,4564.190603361474,432.7611547748905,476.815464365548
1,"[4, 5, 6, 7, 9]","[4, 5, 6, 7, 9, 11, 13, 14]","Q23-010,Q23-011,Q23-014,Q23-019,Q23-022",2137.1440024409562,4087.3751389959266,1489.923660779824,109.2025918,23.0397567,521.0740356445312,671.0740356445312,150.0,0.8459286463626123,73.56472980116837,4569.876650294103,437.22034166113207,482.5015112981763
1,"[11, 12, 13, 14, 15]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-007,Q23-013,Q23-025",5491.586089499344,7509.904415102967,4825.71685791465,109.2028191,23.0394186,507.341552734375,757.341552734375,250.0,0.8725388909639933,72.73315965737521,8018.243776082191,455.8692315846937,508.3393609792249
1,"[11, 12, 13, 14, 15]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-007,Q23-013,Q23-025",5491.586089499344,7509.904415102967,4823.824934724454,109.2023786,23.0394548,506.3517150878906,756.3517150878906,250.0,0.8738177116784018,72.69319651004994,8020.053212801848,457.7611547748905,510.14879769888137
1,"[11, 12, 13, 14, 15]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-007,Q23-013,Q23-025",5491.586089499344,7509.904415102967,4819.365747838212,109.2025918,23.0397567,521.0740356445312,771.0740356445312,250.0,0.8756241252308734,72.63674608653521,8025.739259734476,462.22034166113207,515.8348446315097
1,"[11, 12, 13, 14, 15]","[2, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17]","Q23-006,Q23-007,Q23-013,Q23-025",5491.586089499344,7509.904415102967,4824.555462919337,109.2064541,23.0444748,398.6077880859375,698.6077880859375,300.0,0.8774399264806162,72.58000229748075,8014.510690690135,457.03062658000704,504.6062755871685
1,"[11, 12, 13, 14]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-013,Q23-025",5491.586089499344,6567.351276109428,4825.71685791465,109.2028191,23.0394186,507.341552734375,757.341552734375,250.0,0.5845365429381899,81.73323303318156,7075.690637088653,455.8692315846937,508.3393609792249
1,"[11, 12, 13, 14]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-013,Q23-025",5491.586089499344,6567.351276109428,4823.824934724454,109.2023786,23.0394548,506.3517150878906,756.3517150878906,250.0,0.5858153636525985,81.6932698858563,7077.500073808309,457.7611547748905,510.14879769888137
1,"[11, 12, 13, 14]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-013,Q23-025",5491.586089499344,6567.351276109428,4819.365747838212,109.2025918,23.0397567,521.0740356445312,771.0740356445312,250.0,0.5876217772050699,81.63681946234156,7083.186120740937,462.22034166113207,515.8348446315097
1,"[11, 12, 13, 14]","[2, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17]","Q23-006,Q23-013,Q23-025",5491.586089499344,6567.351276109428,4824.555462919337,109.2064541,23.0444748,398.6077880859375,698.6077880859375,300.0,0.5894375784548127,81.5800756732871,7071.957551696596,457.03062658000704,504.6062755871685
1,"[5, 6, 7, 9]","[5, 6, 7, 9, 11, 12, 13, 15]","Q23-010,Q23-011,Q23-019,Q23-022",2382.7668062278276,4087.3751389959266,1844.362096231502,109.2077265,23.0267207,360.7129211425781,610.7129211425781,250.0,0.7056304045280131,77.94904985849959,4456.030925754134,328.4047099963256,368.6557867582071
1,"[5, 6, 7, 9]","[5, 6, 7, 9, 11, 12, 13, 15]","Q23-010,Q23-011,Q23-019,Q23-022",2382.7668062278276,4087.3751389959266,1833.523910570449,109.2064541,23.0244748,367.6875305175781,667.6875305175781,300.0,0.7085203364028574,77.85873948741072,4471.61699552977,339.24289565737865,384.24185653384353
1,"[4, 5, 6, 7]","[4, 5, 6, 7, 9, 11, 13, 14]","Q23-010,Q23-011,Q23-014,Q23-019",2137.1440024409562,3648.011464632965,1496.2747708562624,109.2028191,23.0394186,507.341552734375,657.341552734375,150.0,0.7085934004848273,77.85645623484915,4123.0174922788565,430.8692315846937,475.0060276458916
1,"[4, 5, 6, 7]","[4, 5, 6, 7, 9, 11, 13, 14]","Q23-010,Q23-011,Q23-014,Q23-019",2137.1440024409562,3648.011464632965,1494.3828476660658,109.2023786,23.0394548,506.3517150878906,656.3517150878906,150.0,0.7098722211992359,77.81649308752388,4124.826928998513,432.7611547748905,476.815464365548
1,"[5, 6, 7, 9]","[5, 6, 7, 9, 11, 12, 13, 15]","Q23-010,Q23-011,Q23-019,Q23-022",2382.7668062278276,4087.3751389959266,1831.8620962315022,109.2077265,23.0267207,360.7129211425781,660.7129211425781,300.0,0.710075934524155,77.81012704612016,4472.6975924208,340.90470999632555,385.32245342487374
1,"[4, 5, 6, 7]","[4, 5, 6, 7, 9, 11, 13, 14]","Q23-010,Q23-011,Q23-014,Q23-019",2137.1440024409562,3648.011464632965,1489.923660779824,109.2025918,23.0397567,521.0740356445312,671.0740356445312,150.0,0.7116786347517075,77.76004266400915,4130.512975931141,437.22034166113207,482.5015112981763
1,"[5, 6, 7, 10]","[2, 5, 6, 7, 10, 13, 17]","Q23-010,Q23-011,Q23-019,Q23-023",2382.7668062278276,4142.344928542324,1778.9356087042593,109.219009,23.0429048,333.1541748046875,633.1541748046875,300.0,0.7626378834535714,76.1675661420759,4578.2973072996165,393.83119752356845,435.9523787572924
1,"[5, 6, 7, 10]","[2, 5, 6, 7, 10, 13, 17]","Q23-010,Q23-011,Q23-019,Q23-023",2382.7668062278276,4142.344928542324,1775.492899287094,109.2189807,23.043434,331.7257385253906,631.7257385253906,300.0,0.7649385421381597,76.09567055818252,4581.620980360173,397.2739069407337,439.27605181784963
1,"[5, 6, 7, 10]","[2, 5, 6, 7, 10, 11, 13, 17]","Q23-010,Q23-011,Q23-019,Q23-023",2382.7668062278276,4142.344928542324,1759.2807288968327,109.2183003,23.0461338,314.61212158203125,614.6121215820312,300.0,0.7765081606444405,75.73411997986123,4596.407016005155,413.48607733099493,454.06208746283085
