iteration,gap_count,fixed_schedule_feasible,delay_solver
1,20,False,"{'status': 'FEASIBLE', 'candidate_count': 193, 'objective': 'delay', 'max_relay_sorties': 8, 'relay_sortie_count': 7, 'objective_bound': 7983817.0, 'delays_s': {'Q23-001': 0.0, 'Q23-002': 0.0, 'Q23-003': 0.0, 'Q23-004': 0.0, 'Q23-005': 4547.811, 'Q23-006': 955.542, 'Q23-007': 0.0, 'Q23-008': 0.0, 'Q23-009': 2316.54, 'Q23-010': 0.0, 'Q23-011': 0.0, 'Q23-012': 0.0, 'Q23-013': 0.0, 'Q23-014': 0.0, 'Q23-015': 0.0, 'Q23-016': 0.0, 'Q23-017': 0.0, 'Q23-018': 0.0, 'Q23-019': 0.0, 'Q23-020': 2546.357, 'Q23-021': 0.0, 'Q23-022': 0.0, 'Q23-023': 0.0, 'Q23-024': 3631.552, 'Q23-025': 728.73}}"
2,20,True,
