sortie,phase,time_s,relay_sortie,access_loss_db,access_limit_db,access_available,backhaul_loss_db,backhaul_limit_db,backhaul_available,both_available
Q23-004,leg1-cruise,740.2150102367439,R3-001,111.2725544898924,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,750.2086641592422,R3-001,111.28338905353604,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,760.2023180817405,R3-001,111.30357725471447,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,770.1959720042389,R3-001,111.33298923266504,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,780.1896259267372,R3-001,111.37143830873856,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,790.1832798492355,R3-001,111.41868486248133,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,800.176933771734,R3-001,111.47444116476007,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,810.1705876942322,R3-001,111.53837696977493,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,820.1642416167306,R3-001,111.61012564855115,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,830.1578955392289,R3-001,111.68929064104994,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,840.1515494617272,R3-001,111.7754520110968,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,850.1452033842256,R3-001,111.86817290640349,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,860.138857306724,R3-001,111.9670057520192,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,870.1325112292222,R3-001,112.07149803699178,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,880.1261651517207,R3-001,112.18119758789774,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,890.119819074219,R3-001,112.29565725669434,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,900.1134729967173,R3-001,112.41443898204673,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,910.1071269192157,R3-001,112.53711721136087,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,920.1007808417139,R3-001,112.66328169431813,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,930.0944347642123,R3-001,112.79253967739218,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,940.0880886867106,R3-001,112.92451754260625,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,950.081742609209,R3-001,113.05886194305184,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,960.0753965317074,R3-001,113.19524049294319,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,970.0690504542057,R3-001,113.33334207194207,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,980.062704376704,R3-001,113.47287680275075,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,990.0563582992023,R3-001,113.61357575834673,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,1000.0500122217007,R3-001,113.75519045110693,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,1010.043666144199,R3-001,113.89749215122295,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,1020.0373200666974,R3-001,114.04027107641616,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,1030.0309739891957,R3-001,114.18333548949535,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-cruise,1040.024627911694,R3-001,114.32651073498104,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-descent,1040.024627911694,R3-001,114.32651073498104,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-descent,1048.9700533267333,R3-001,114.32929165617138,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-descent,1057.9154787417722,R3-001,114.33223301749963,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-descent,1066.860904156811,R3-001,114.33533449196943,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg1-descent,1075.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1075.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1085.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1095.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1105.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1115.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1125.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1135.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1145.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1155.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1165.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1175.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1185.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1195.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1205.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1215.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1225.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1235.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1245.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1255.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1265.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1275.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,S002-handoff,1285.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-climb,1285.8063295718503,R3-001,114.33859573534426,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-climb,1295.7456911441159,R3-001,114.3342828976929,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-climb,1305.6850527163815,R3-001,114.33025429905736,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-climb,1315.6244142886471,R3-001,114.32651073498104,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1315.6244142886471,R3-001,114.32651073498104,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1325.6180682111456,R3-001,114.18333548949535,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1335.6117221336438,R3-001,114.04027107641616,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1345.6053760561422,R3-001,113.89749215122295,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1355.5990299786406,R3-001,113.75519045110693,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1365.5926839011388,R3-001,113.61357575834673,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1375.5863378236372,R3-001,113.47287680275075,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1385.5799917461354,R3-001,113.33334207194207,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1395.5736456686338,R3-001,113.19524049294319,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1405.5672995911323,R3-001,113.05886194305184,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1415.5609535136305,R3-001,112.92451754260625,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1425.554607436129,R3-001,112.79253967739218,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1435.5482613586273,R3-001,112.66328169431813,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1445.5419152811255,R3-001,112.53711721136087,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1455.535569203624,R3-001,112.41443898204673,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1465.5292231261224,R3-001,112.29565725669434,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1475.5228770486206,R3-001,112.18119758789774,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1485.516530971119,R3-001,112.07149803699178,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1495.5101848936174,R3-001,111.9670057520192,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1505.5038388161156,R3-001,111.86817290640349,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1515.497492738614,R3-001,111.7754520110968,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1525.4911466611125,R3-001,111.68929064104994,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1535.4848005836106,R3-001,111.61012564855115,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1545.478454506109,R3-001,111.53837696977493,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1555.4721084286075,R3-001,111.47444116476007,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1565.4657623511057,R3-001,111.41868486248133,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1575.4594162736041,R3-001,111.37143830873856,116.0,True,124.45011568854092,126.0,True,True
Q23-004,leg2-cruise,1585.4530701961025,R3-001,111.33298923266504,116.0,True,124.45011568854092,126.0,True,True
