sortie,phase,time_s,longitude,latitude,altitude_m,distance_3d_m,fspl_db,obstruction,path_loss_db,threshold_db,available,reason
Q23-001,leg1-climb,390.0,109.2308517,23.0085095,127.7,19.999999999999986,66.07482474751174,False,66.07482474751174,122.0,True,
Q23-001,leg1-climb,399.6904406738281,109.2308517,23.0085095,156.7713220214843,9.07132202148432,59.207636517653526,False,59.207636517653526,122.0,True,
Q23-001,leg1-climb,409.38088134765627,109.2308517,23.0085095,185.8426440429688,38.14264404296881,71.68244073400636,False,71.68244073400636,122.0,True,
Q23-001,leg1-climb,419.0713220214844,109.2308517,23.0085095,214.91396606445312,67.21396606445313,76.60341528177702,False,76.60341528177702,122.0,True,
Q23-001,leg1-climb,428.76176269531254,109.2308517,23.0085095,243.98528808593758,96.2852880859376,79.72542351728406,False,79.72542351728406,122.0,True,
Q23-001,leg1-climb,438.45220336914065,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q23-001,leg1-cruise,438.45220336914065,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q23-001,leg1-cruise,448.2708294149384,109.23132786153846,23.009474238461536,273.0566101074219,172.0380321800332,84.76671416076408,False,84.76671416076408,122.0,True,
Q23-001,leg1-cruise,458.0894554607362,109.23180402307692,23.010438976923076,273.0566101074219,266.918397719326,88.58179501755924,False,88.58179501755924,122.0,True,
Q23-001,leg1-cruise,467.90808150653396,109.23228018461539,23.011403715384613,273.0566101074219,375.0456203852502,91.5359068008678,False,91.5359068008678,122.0,True,
Q23-001,leg1-cruise,477.72670755233173,109.23275634615385,23.012368453846154,273.0566101074219,487.68672485135306,93.81704351373737,False,93.81704351373737,122.0,True,
Q23-001,leg1-cruise,487.5453335981295,109.2332325076923,23.01333319230769,273.0566101074219,602.3144542566532,95.65069054288968,False,95.65069054288968,122.0,True,
Q23-001,leg1-cruise,497.3639596439273,109.23370866923077,23.01429793076923,273.0566101074219,717.9778520843059,97.17644578409407,False,97.17644578409407,122.0,True,
Q23-001,leg1-cruise,507.1825856897251,109.23418483076924,23.01526266923077,273.0566101074219,834.2462001737093,98.48010957835102,False,98.48010957835102,122.0,True,
Q23-001,leg1-cruise,517.0012117355228,109.2346609923077,23.016227407692305,273.0566101074219,950.8975650080249,99.61689954000772,False,99.61689954000772,122.0,True,
Q23-001,leg1-cruise,526.8198377813206,109.23513715384615,23.017192146153846,273.0566101074219,1067.8063794773716,100.62407505760012,False,100.62407505760012,122.0,True,
Q23-001,leg1-cruise,536.6384638271184,109.23561331538461,23.018156884615383,273.0566101074219,1184.8963985540595,101.52783242337841,False,101.52783242337841,122.0,True,
Q23-001,leg1-cruise,546.4570898729162,109.23608947692308,23.019121623076924,273.0566101074219,1302.1187007939918,102.3472363583543,False,102.3472363583543,122.0,True,
Q23-001,leg1-cruise,556.275715918714,109.23656563846154,23.02008636153846,273.0566101074219,1419.4404774595296,103.0965685467022,False,103.0965685467022,122.0,True,
Q23-001,leg1-cruise,566.0943419645117,109.2370418,23.0210511,273.0566101074219,1536.8389140156492,103.7867918079043,False,103.7867918079043,122.0,True,
Q23-001,leg1-cruise,575.9129680103094,109.23751796153846,23.022015838461538,273.0566101074219,1654.2976590507608,104.42649793798903,True,114.42649793798903,122.0,True,
Q23-001,leg1-cruise,585.7315940561073,109.23799412307692,23.022980576923075,273.0566101074219,1771.8046896903165,105.02254177143041,True,115.02254177143041,122.0,True,
Q23-001,leg1-cruise,595.5502201019051,109.23847028461539,23.023945315384616,273.0566101074219,1889.3509696896513,105.58047765112659,True,115.58047765112659,122.0,True,
Q23-001,leg1-cruise,605.3688461477028,109.23894644615385,23.024910053846153,273.0566101074219,2006.9295771232614,106.10486750268278,True,116.10486750268278,122.0,True,
Q23-001,leg1-cruise,615.1874721935006,109.2394226076923,23.025874792307693,273.0566101074219,2124.5351206851747,106.59950313035115,True,116.59950313035115,122.0,True,
Q23-001,leg1-cruise,625.0060982392984,109.23989876923076,23.02683953076923,273.0566101074219,2242.1633390887782,107.067569779795,True,117.067569779795,122.0,True,
Q23-001,leg1-cruise,634.8247242850962,109.24037493076924,23.027804269230767,273.0566101074219,2359.8108199449102,107.51176859577664,True,117.51176859577664,122.0,True,
Q23-001,leg1-cruise,644.6433503308939,109.2408510923077,23.028769007692308,273.0566101074219,2477.4747985291933,107.93440974286476,True,117.93440974286476,122.0,True,
Q23-001,leg1-cruise,654.4619763766917,109.24132725384615,23.029733746153845,273.0566101074219,2595.1530111735074,108.337484216259,True,118.337484216259,122.0,True,
Q23-001,leg1-cruise,664.2806024224894,109.24180341538461,23.030698484615385,273.0566101074219,2712.8435867349353,108.7227199252682,True,118.7227199252682,122.0,True,
Q23-001,leg1-cruise,674.0992284682873,109.24227957692308,23.031663223076922,273.0566101074219,2830.544965088742,109.09162600087231,True,119.09162600087231,122.0,True,
Q23-001,leg1-cruise,683.917854514085,109.24275573846154,23.032627961538463,273.0566101074219,2948.2558351132957,109.44552816937775,True,119.44552816937775,122.0,True,
Q23-001,leg1-cruise,693.7364805598828,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
Q23-001,leg1-descent,693.7364805598828,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
