longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,outbound_flight_s,return_flight_s,preflight_s,fixed_energy_kwh,relay_sortie,service_start_s,service_end_s,preparation_start_s,return_o01_s,energy_kwh,return_soc_percent,takeoff_s,arrival_s,drone_ready_s,charge_complete_s,covered_sorties,covered_gap_ids,pattern_gaps,relay_drone,energy_component
109.28027778,23.03333333,377.28515625,677.28515625,300.0,521.5554143047281,567.3541773255614,731.5554143047281,0.30346560930007627,RU-001,740.0,2984.0,8.44458569527194,3551.3541773255615,0.9891322759667429,69.08961637603929,188.44458569527194,710.0,3851.3541773255615,4453.189164437051,"P00003,P00005,P00024,P00071,P00083",[],"[('P00003', 0), ('P00005', 0), ('P00024', 0), ('P00071', 0), ('P00083', 0)]",R01,RE-01
109.2432319,23.0335927,153.96136474609375,453.96136474609375,300.0,285.79276293911715,312.98121000129163,495.79276293911715,0.1686533909020433,RU-002,757.0,1179.0,261.20723706088285,1491.9812100012916,0.29759783534648776,90.70006764542225,441.20723706088285,727.0,1791.9812100012916,2077.8769483396895,P00089,[],"[('P00089', 0)]",R02,RE-02
109.1923786,23.0494548,436.229248046875,736.229248046875,300.0,553.4065752475881,604.1173459181609,763.4065752475881,0.3196410353595807,RU-003,2556.0,3641.0,1792.593424752412,4245.117345918161,0.6511688131373585,79.65097458945755,1972.593424752412,2526.0,4545.117345918161,5009.6546762552125,"P00026,P00041,P00044,P00057,P00272",[],"[('P00026', 0), ('P00041', 0), ('P00044', 0), ('P00057', 0), ('P00272', 0)]",R02,RE-03
109.2203356,23.0319231,178.04286193847656,478.04286193847656,300.0,275.3958304947265,304.5910689895996,485.3958304947265,0.1603056564012031,RU-004,4360.0,4902.0,3874.6041695052736,5206.5910689896,0.32591676751231424,89.81510101524019,4054.6041695052736,4330.0,5506.5910689896,5838.9947557914775,P00014,[],"[('P00014', 0)]",R01,RE-02
109.19444444,23.06333333,736.2197265625,1036.2197265625,300.0,703.4222584626402,779.1322356761818,913.4222584626402,0.39424157606669347,RU-005,5563.0,6745.0,4649.5777415373595,7524.132235676182,0.7554082427333602,76.3934924145825,4829.5777415373595,5533.0,7824.132235676182,8331.016834286609,"P00009,P00010,P00028,P00030,P00275,P00278",[],"[('P00009', 0), ('P00010', 0), ('P00028', 0), ('P00030', 0), ('P00275', 0), ('P00278', 0)]",R02,RE-01
109.2713839,23.0310882,321.70806884765625,621.7080688476562,300.0,446.74915053923576,487.9164896098738,656.7491505392358,0.25960822228264624,RU-006,6164.0,7134.0,5507.250849460765,7621.916489609874,0.5559971111715352,82.62509027588952,5687.250849460765,6134.0,7921.916489609874,8347.790316023309,"P00086,P00107",[],"[('P00086', 0), ('P00107', 0)]",R01,RE-03
