sortie,phase,time_s,relay_sortie,access_loss_db,access_limit_db,access_available,backhaul_loss_db,backhaul_limit_db,backhaul_available,both_available
Q23-001,leg1-cruise,3226.477673219313,R3-003,99.2762819720474,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-cruise,3236.4327563476904,R3-003,99.92444674423028,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-cruise,3246.3878394760673,R3-003,100.6601331164588,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-cruise,3256.3429226044445,R3-003,101.4324164005902,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-cruise,3266.2980057328214,R3-003,102.20747769297675,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-cruise,3276.253088861198,R3-003,102.96516738398167,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-cruise,3286.2081719895755,R3-003,103.69467315491444,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-descent,3286.2081719895755,R3-003,103.69467315491444,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-descent,3294.6118255540287,R3-003,103.70878469412824,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-descent,3303.0154791184814,R3-003,103.7244974991427,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-descent,3311.4191326829346,R3-003,103.74179408242617,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg1-descent,3319.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3319.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3329.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3339.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3349.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3359.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3369.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3379.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3389.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3399.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3409.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3419.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3429.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3439.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3449.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3459.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3469.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3479.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3489.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3499.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3509.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3519.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S010-handoff,3529.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3529.8227862473877,R3-003,103.76065536427046,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3538.678194252875,R3-003,103.73706598170222,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3547.5336022583624,R3-003,103.71598671088812,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3556.3890102638497,R3-003,103.69745485820856,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3565.244418269337,R3-003,103.681503573329,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3574.0998262748244,R3-003,103.66816165579418,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3582.9552342803117,R3-003,103.6574533844979,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-climb,3591.810642285799,R3-003,103.64939837211243,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3591.810642285799,R3-003,103.64939837211243,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3601.579368885855,R3-003,103.37797659542926,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3611.348095485911,R3-003,103.18021909167575,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3621.1168220859668,R3-003,103.0672356557658,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3630.885548686023,R3-003,103.04591388770909,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3640.6542752860787,R3-003,103.11760034019228,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3650.4230018861344,R3-003,103.27782877397536,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3660.1917284861906,R3-003,103.51720404735427,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3669.9604550862464,R3-003,113.82309726464152,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3679.7291816863026,R3-003,104.1815677192402,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3689.4979082863583,R3-003,114.57899766777251,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3699.2666348864145,R3-003,105.00318048160213,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-cruise,3709.0353614864703,R3-003,105.44385245706064,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3709.0353614864703,R3-003,105.44385245706064,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3718.363539892232,R3-003,105.44843699450874,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3727.6917182979937,R3-003,105.45437921062526,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3737.0198967037554,R3-003,115.46167353368527,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3746.348075109517,R3-003,115.47031314844243,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3755.676253515279,R3-003,115.48029001721335,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3765.0044319210406,R3-003,115.49159490457586,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3774.3326103268023,R3-003,115.5042174055237,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg2-descent,3783.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3783.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3793.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3803.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3813.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3823.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3833.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3843.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3853.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3863.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3873.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3883.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3893.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3903.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3913.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3923.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3933.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3943.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3953.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,S014-handoff,3963.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,3963.660788732564,R3-003,115.5181459768993,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,3972.584766054613,R3-003,115.50226660562936,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,3981.508743376661,R3-003,115.48811082316615,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,3990.43272069871,R3-003,115.47569571391874,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,3999.3566980207584,R3-003,115.4650363690117,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,4008.280675342807,R3-003,105.45614582600943,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,4017.2046526648555,R3-003,105.44903501632766,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,4026.1286299869043,R3-003,105.44371272077203,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,4035.0526073089527,R3-003,105.44018553358109,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-climb,4043.9765846310015,R3-003,105.43845783528066,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4043.9765846310015,R3-003,105.43845783528066,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4053.7259848010362,R3-003,104.7404985304127,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4063.4753849710714,R3-003,103.98429279438946,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4073.224785141106,R3-003,103.15988863149944,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4082.9741853111414,R3-003,102.25482161952837,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4092.723585481176,R3-003,101.25338057923972,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4102.472985651211,R3-003,100.13579139520786,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4112.2223858212465,R3-003,98.8777054632453,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4121.971785991281,R3-003,97.4514814635163,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4131.721186161316,R3-003,95.8345425889496,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4141.470586331351,R3-003,94.04263530012777,116.0,True,121.25068135942337,126.0,True,True
Q23-001,leg3-cruise,4151.219986501386,R3-003,92.23801969117764,116.0,True,121.25068135942337,126.0,True,True
Q23-002,leg1-cruise,781.3455814585584,R3-002,99.95426959969969,116.0,True,119.85838018172348,126.0,True,True
Q23-002,leg1-cruise,791.0957489811121,R3-002,101.06533507947817,116.0,True,119.85838018172348,126.0,True,True
Q23-002,leg1-cruise,800.8459165036658,R3-002,102.0677215600056,116.0,True,119.85838018172348,126.0,True,True
Q23-002,leg1-cruise,810.5960840262194,R3-002,102.97739531156459,116.0,True,119.85838018172348,126.0,True,True
Q23-002,leg1-cruise,820.3462515487731,R3-002,103.8081107163814,116.0,True,119.85838018172348,126.0,True,True
Q23-002,leg1-descent,820.3462515487731,R3-002,103.8081107163814,116.0,True,119.85838018172348,126.0,True,True
