covered_gap_ids,spatial_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s,candidate_group,relay_sortie,relay_drone,energy_component,takeoff_s,arrival_s,drone_ready_s,charge_complete_s
"[1, 2, 4]","[1, 2, 4, 5, 13]","Q23-003,Q23-006,Q23-013",699.5176549273787,1797.1764196986335,33.358526499968264,109.2695194,23.0377485,286.6029968261719,586.6029968261719,300.0,0.6035017333809749,81.14057083184454,2291.577464528225,456.1591284274104,494.4010448295914,1,R3-001,R01,RE-01,213.35852649996826,669.5176549273787,2591.577464528225,3036.750043714246
[3],"[3, 16, 17, 18]",Q23-002,781.3455814585584,1666.3751389959266,280.0892608496261,109.207314,23.0256922,322.8233947753906,472.8233947753906,150.0,0.4412340443812758,86.21143611308513,1986.391742502808,291.2563206089323,320.0166035068815,1,R3-002,R02,RE-02,460.0892608496261,751.3455814585584,2286.391742502808,2665.6430730327015
"[5, 6, 7, 8]","[5, 6, 7, 8]","Q23-001,Q23-004,Q23-005,Q23-020",2855.5595008347127,4151.219986501386,2286.394388575125,109.2660168,23.0094009,304.2348327636719,604.2348327636719,300.0,0.6007853210849483,81.22545871609536,4550.096334824613,359.1651122595876,398.8763483232269,1,R3-003,R02,RE-03,2466.394388575125,2825.5595008347127,4850.096334824613,5294.165371515373
"[9, 10, 11, 12]","[2, 5, 9, 10, 11, 12, 13, 15, 20]","Q23-010,Q23-014,Q23-019,Q23-023",3368.2990024409564,5779.262628426954,2640.99380884236,109.2449305,23.0622453,257.885498046875,557.885498046875,300.0,1.0458884041773464,67.31598736945791,6332.416613529456,517.3051935985965,553.1539851025027,1,R3-004,R01,RE-04,2820.99380884236,3338.2990024409564,6632.416613529456,7257.308777726504
"[13, 14, 15, 16, 17, 18]","[2, 3, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]","Q23-009,Q23-011,Q23-012,Q23-021,Q23-022",5754.533023629233,7421.746109553342,5087.502397049226,109.2064541,23.0444748,398.6077880859375,698.6077880859375,300.0,0.7701577699118759,75.93256969025389,7926.35238514051,457.03062658000704,504.6062755871685,1,R3-005,R02,RE-01,5267.502397049226,5724.533023629233,8226.35238514051,8739.22897916721
[19],"[3, 14, 16, 17, 18, 19]",Q23-025,8026.0370291910995,9077.445415102966,7510.668464251338,109.207957,23.0253628,299.08355712890625,549.0835571289062,250.0,0.49568807000511284,84.50974781234022,9417.929276470135,305.36856493976086,340.4838613671697,1,R3-006,R01,RE-02,7690.668464251338,7996.0370291910995,9717.929276470135,10119.302554909713
[20],"[2, 11, 13, 20]",Q23-024,8915.020115652058,9689.875459189754,8226.35497230574,109.2449305,23.0622453,257.885498046875,307.885498046875,50.0,0.5310121588196386,83.4058700368863,10183.556060706645,478.66514334631785,493.68060151689076,1,R3-007,R02,RE-03,8406.35497230574,8885.020115652058,10483.556060706645,10899.279750227124
