运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
P00057,leg1-climb,527.1923798432689,537.0455381778543,直连,
P00107,leg1-cruise,527.2184066251999,532.1459543893359,直连,
P00011,leg1-climb,527.6795678710937,537.2154814453125,直连,
P00107,leg1-cruise,532.1459543893359,537.073502153472,直连,
P00020,leg1-climb,532.2339156989494,541.7539488613843,直连,
P00024,leg1-climb,535.0773086547852,544.7491292317709,直连,
P00137,leg1-cruise,535.5502201019051,545.3688461477028,直连,
P00146,leg1-cruise,535.5502201019051,545.3688461477028,直连,
P00057,leg1-climb,537.0455381778543,546.8986965124395,直连,
P00107,leg1-cruise,537.073502153472,542.0010499176079,直连,
P00011,leg1-climb,537.2154814453125,546.7513950195313,直连,
P00035,leg1-climb,540,549.6904406738281,直连,
P00020,leg1-cruise,541.7539488613843,546.6862485689091,直连,
P00107,leg1-cruise,542.0010499176079,546.9285976817439,直连,
P00024,leg1-cruise,544.7491292317709,549.6238293167884,直连,
P00137,leg1-cruise,545.3688461477028,555.1874721935006,直连,
P00146,leg1-cruise,545.3688461477028,555.1874721935006,直连,
P00020,leg1-cruise,546.6862485689091,551.6185482764341,直连,
P00011,leg1-climb,546.7513950195313,556.28730859375,直连,
P00057,leg1-climb,546.8986965124395,556.7518548470249,直连,
P00107,leg1-cruise,546.9285976817439,551.85614544588,直连,
P00024,leg1-cruise,549.6238293167884,554.4985294018059,直连,
P00035,leg1-climb,549.6904406738281,559.3808813476562,直连,
P00020,leg1-cruise,551.6185482764341,556.5508479839591,直连,
P00107,leg1-cruise,551.85614544588,556.7836932100159,直连,
P00024,leg1-cruise,554.4985294018059,559.3732294868233,直连,
P00137,leg1-cruise,555.1874721935006,565.0060982392984,直连,
P00146,leg1-cruise,555.1874721935006,565.0060982392984,直连,
P00011,leg1-climb,556.28730859375,565.8232221679688,直连,
P00020,leg1-cruise,556.5508479839591,561.483147691484,直连,
P00057,leg1-cruise,556.7518548470249,561.581488423138,直连,
P00107,leg1-cruise,556.7836932100159,561.7112409741519,直连,
P00024,leg1-cruise,559.3732294868233,564.2479295718408,直连,
P00035,leg1-climb,559.3808813476562,569.0713220214843,直连,
P00020,leg1-cruise,561.483147691484,566.4154473990088,直连,
P00057,leg1-cruise,561.581488423138,566.4111219992511,直连,
P00107,leg1-cruise,561.7112409741519,566.6387887382879,直连,
P00024,leg1-cruise,564.2479295718408,569.1226296568583,直连,
P00137,leg1-cruise,565.0060982392984,574.8247242850962,直连,
P00146,leg1-cruise,565.0060982392984,574.8247242850962,直连,
