A-B01,A,Q2-010,0.0,1653.8535692154742,56.61111156075456,1653.8535692154742,2717.909118925665
A-B02,A,Q2-015,0.0,1712.4426794497324,57.79959741280909,1712.4426794497324,2761.0479130832146
A-B03,A,Q2-018,0.0,2007.7326591437009,34.90876328714205,2007.7326591437009,3353.918736410854
A-B04,A,Q2-019,0.0,1970.2112326339443,44.984823379184824,1970.2112326339443,3185.408528704542
B-B01,B,Q2-003,0.0,1126.678806680371,75.84233041339834,1126.678806680371,2212.078412848133
B-B02,B,Q2-004,0.0,1066.678806680371,77.60317081168415,1066.678806680371,2121.5571792778455
C-B01,C,Q2-001,0.0,1627.4267416985467,62.44172425815522,1627.4267416985467,3274.522716105184
C-B02,C,Q2-002,0.0,1363.4267416985467,69.84830104211423,1363.4267416985467,2850.0468857860715
B-B03,B,Q2-005,1066.678806680371,2277.036678343111,73.07343715466405,2277.036678343111,3410.430434328934
B-B04,B,Q2-007,1126.678806680371,2333.260078835845,72.57234153563105,2333.260078835845,3475.3394922182397
C-B03,C,Q2-006,1363.4267416985467,2792.29062697251,70.9477339192582,2792.29062697251,4255.089725388582
C-B04,C,Q2-016,1627.4267416985467,3375.472358794599,52.47629188943166,3375.472358794599,5238.486034523579
A-B05,A,Q2-022,1653.8535692154742,3642.815920230166,49.164900841296244,3642.815920230166,4803.672209293315
A-B06,A,Q2-024,1712.4426794497324,3822.859065478095,34.1995153305423,3822.859065478095,5178.2653661810455
B-B01,B,Q2-008,2277.036678343111,3727.437619802442,59.094806227707586,3727.437619802442,5103.127645188844
B-B02,B,Q2-009,2333.260078835845,3723.661020295176,62.1138587269406,3723.661020295176,5047.02080236154
A-B01,A,Q2-026,2717.909118925665,4894.115003750893,28.632865218326607,4894.115003750893,6321.887755912647
A-B02,A,Q2-027,2761.0479130832146,4945.009097181137,31.142101143384593,4945.009097181137,6340.161782317137
C-B02,C,Q2-017,2850.0468857860715,4607.272126920727,60.697102876170696,4607.272126920727,6292.1682312703615
C-B01,C,Q2-021,3375.472358794599,5486.4804853771375,23.437644621624,5486.4804853771375,7978.6648519086175
A-B03,A,Q2-030,3642.815920230166,5905.094584626882,33.75314925042178,5905.094584626882,7266.303644371399
B-B03,B,Q2-011,3723.661020295176,5158.233259456618,62.15505391766172,5158.233259456618,6480.878991550481
B-B04,B,Q2-012,3727.437619802442,5228.217410349552,52.878810021412114,5228.217410349552,6711.651369978408
C-B03,C,Q2-028,4607.272126920727,6679.032016340154,32.23294543462063,6679.032016340154,8980.651531923373
B-B01,B,Q2-013,5158.233259456618,6599.013050003728,56.31019190448313,6599.013050003728,8022.969723659353
B-B02,B,Q2-014,5228.217410349552,6747.242731221646,55.543077882382555,6747.242731221646,8184.496047927015
C-B04,C,Q2-029,5486.4804853771375,7659.665976844928,30.750539511350784,7659.665976844928,9993.404287432328
B-B03,B,Q2-020,6599.013050003728,8308.587151019738,51.99348186652202,8308.587151019738,9807.36679866669
C-B02,C,Q2-031,6679.032016340154,9114.842874452579,23.153969290681033,9114.842874452579,11613.173539821157
B-B04,B,Q2-023,6747.242731221646,8495.84117909069,55.45170031170697,8495.84117909069,9934.67837368777
B-B01,B,Q2-025,8308.587151019738,10112.388551671855,42.703943078498384,10112.388551671855,11772.18687164455
电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
