架次编号,航段序号,from,to,payload_kg,distance_m,cruise_altitude_m,flight_s,energy_kwh
Q2-001,1,O01,S001,78.0,3063.411326288906,273.0566101074219,306.8983708492734,2.0385218927144426
Q2-001,2,S001,O01,0.0,3063.411326288906,273.0566101074219,312.5283708492734,0.9661401666331395
Q2-002,1,O01,S001,56.0,3063.411326288906,273.0566101074219,306.8983708492734,1.445995749997722
Q2-002,2,S001,O01,0.0,3063.411326288906,273.0566101074219,312.5283708492734,0.9661401666331395
Q2-003,1,O01,S011,17.0,2817.1517251516107,293.3490295410156,275.5260700068522,0.5438755371254697
Q2-003,2,S011,O01,0.0,2817.1517251516107,293.3490295410156,281.1527366735188,0.4224312463385967
Q2-004,1,O01,S011,8.0,2817.1517251516107,293.3490295410156,275.5260700068522,0.4734419211940373
Q2-004,2,S011,O01,0.0,2817.1517251516107,293.3490295410156,281.1527366735188,0.4224312463385967
Q2-005,1,O01,S001,20.0,3063.411326288906,273.0566101074219,288.3022691647031,0.6175312613196181
Q2-005,2,S001,O01,0.0,3063.411326288906,273.0566101074219,292.0556024980365,0.45953125249382004
Q2-006,1,O01,S006,42.0,3181.0333082558964,366.09783935546875,333.0769426369817,1.3318354910444332
Q2-006,2,S006,O01,0.0,3181.0333082558964,366.09783935546875,351.7869426369816,0.9923457954149114
Q2-007,1,O01,S006,17.0,3181.0333082558964,366.09783935546875,312.05396941107017,0.630057693561379
Q2-007,2,S006,O01,0.0,3181.0333082558964,366.09783935546875,324.5273027444035,0.467048645013379
Q2-008,1,O01,S013,17.0,4848.706999909826,399.18182373046875,432.7338040629988,0.9318584528367702
Q2-008,2,S013,O01,0.0,4848.706999909826,399.18182373046875,447.6671373963321,0.7043492980549264
Q2-009,1,O01,S013,8.0,4848.706999909826,399.18182373046875,432.7338040629988,0.8110963528674495
Q2-009,2,S013,O01,0.0,4848.706999909826,399.18182373046875,447.6671373963321,0.7043492980549264
Q2-010,1,O01,S010,17.0,4778.43990162097,435.63653564453125,534.4634512744037,1.0701245542414421
Q2-010,2,S010,O01,0.0,4778.43990162097,435.63653564453125,549.3901179410705,0.8823754255246029
Q2-011,1,O01,S010,8.0,4778.43990162097,435.63653564453125,454.82278624738757,0.8104970600600524
Q2-011,2,S010,O01,0.0,4778.43990162097,435.63653564453125,469.74945291405425,0.7033007832334791
Q2-012,1,O01,S009,17.0,5722.680393214653,293.2289123535156,461.979895273555,1.051772388920948
Q2-012,2,S009,O01,0.0,5722.680393214653,293.2289123535156,468.799895273555,0.8330752102225674
Q2-013,1,O01,S009,8.0,5722.680393214653,293.2289123535156,461.979895273555,0.9145171135981074
Q2-013,2,S009,O01,0.0,5722.680393214653,293.2289123535156,468.799895273555,0.8330752102225674
Q2-014,1,O01,S005,17.0,5302.02013115008,326.410888671875,472.2693271027137,0.9885284858386653
Q2-014,2,S005,O01,0.0,5302.02013115008,326.410888671875,476.7559937693803,0.7897483988660325
Q2-015,1,O01,S007,17.0,4533.827897987457,501.8304748535156,563.8613397248662,1.0423210388114827
Q2-015,2,S007,O01,0.0,4533.827897987457,501.8304748535156,578.5813397248662,0.856697077612108
Q2-016,1,O01,S005,42.0,5302.02013115008,326.410888671875,498.6578085480262,2.1357526867382792
Q2-016,2,S005,O01,0.0,5302.02013115008,326.410888671875,505.3878085480262,1.6661439621071876
Q2-017,1,O01,S007,28.0,4533.827897987457,501.8304748535156,528.5726205673278,1.7086577568289885
Q2-017,2,S007,O01,0.0,4533.827897987457,501.8304748535156,550.6526205673279,1.435574013077356
Q2-018,1,O01,S002,17.0,7435.278518338766,308.9542541503906,715.8063295718504,1.567064446515872
Q2-018,2,S002,O01,0.0,7435.278518338766,308.9542541503906,721.9263295718504,1.3620412055627353
Q2-019,1,O01,S015,17.0,6019.113948538039,571.7992553710938,688.5456163169721,1.366473694148931
Q2-019,2,S015,O01,0.0,6019.113948538039,571.7992553710938,711.6656163169721,1.1092092537877518
Q2-020,1,O01,S015,8.0,6019.113948538039,571.7992553710938,588.2270505080047,1.0364591855721308
Q2-020,2,S015,O01,0.0,6019.113948538039,571.7992553710938,611.3470505080047,0.8838015397669887
Q2-021,1,O01,S002,64.0,7435.278518338766,308.9542541503906,612.9140632912693,3.813553196754571
Q2-021,2,S002,O01,0.0,7435.278518338766,308.9542541503906,622.0940632912692,2.311435233515509
Q2-022,1,O01,S014,17.0,5410.9170943694,591.9473876953125,702.0378421740126,1.2498018585471689
Q2-022,2,S014,O01,0.0,5410.9170943694,591.9473876953125,716.9245088406792,1.0377776035944999
Q2-023,1,O01,S014,8.0,5410.9170943694,591.9473876953125,611.8558906011892,0.9496893422000852
Q2-023,2,S014,O01,0.0,5410.9170943694,591.9473876953125,626.7425572678559,0.8322426453316359
Q2-024,1,O01,S012,17.0,7398.449561287365,413.3009948730469,765.1381930141814,1.59394447428059
Q2-024,2,S012,O01,0.0,7398.449561287365,413.3009948730469,775.2781930141815,1.3670773358450066
Q2-025,1,O01,S012,8.0,7398.449561287365,413.3009948730469,641.8307003260587,1.2020899543495376
Q2-025,2,S012,O01,0.0,7398.449561287365,413.3009948730469,651.9707003260587,1.0897523225105272
