sortie,start_s,end_s,direct_available,reason,gap_id
Q2-001,651.9268419355427,1749.3404877766482,False,,1
Q2-005,660.2162961558483,1823.0638404634583,False,,2
Q2-002,665.8377548840872,1712.7666331892165,False,,3
Q2-006,1766.9535991150958,2868.695443085245,False,,4
Q2-003,2792.8587839561833,3593.9894842822414,False,,5
Q2-004,2810.516378377837,3557.938935645693,False,,6
Q2-019,3072.8026695877907,3868.5404781358166,False,,7
Q2-021,4074.867035043299,5047.061098334569,False,,8
Q2-010,4663.213337744348,5514.212889101615,False,,9
Q2-009,4670.739025609486,5528.567098301766,False,,10
Q2-022,5603.283106471228,6224.673557074716,False,,11
Q2-023,6143.930348428808,7064.370293138523,False,,12
Q2-011,6592.6695205783035,7418.107909908786,False,,13
Q2-012,6652.914822662326,7335.541873170331,False,,14
Q2-024,7349.270805655016,8342.59355138891,False,,15
Q2-013,8349.751024161696,9520.859726050387,False,,16
Q2-014,8389.478382912166,9049.314376681548,False,,17
Q2-025,9553.392716838127,10634.438145894339,False,,18
Q2-020,11354.903561134484,12286.815220672517,False,,19
