sortie,phase,time_s,longitude,latitude,altitude_m,distance_3d_m,fspl_db,obstruction,path_loss_db,threshold_db,available,reason
Q2-001,leg1-climb,540.0,109.2308517,23.0085095,127.7,19.999999999999986,66.07482474751174,False,66.07482474751174,122.0,True,
Q2-001,leg1-climb,598.1426440429688,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q2-001,leg1-cruise,598.1426440429688,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q2-001,leg1-cruise,649.1994994811172,109.23394675,23.014780299999998,273.0566101074219,776.0533722921132,97.8520566432842,False,97.8520566432842,122.0,True,
Q2-001,leg1-cruise,700.2563549192656,109.2370418,23.0210511,273.0566101074219,1536.8389140156492,103.7867918079043,False,103.7867918079043,122.0,True,
Q2-001,leg1-cruise,751.313210357414,109.24013685,23.0273219,273.0566101074219,2300.9848577480416,107.29250004795173,True,117.29250004795173,122.0,True,
Q2-001,leg1-cruise,802.3700657955625,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
Q2-001,leg1-descent,802.3700657955625,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
Q2-001,S001-handoff,846.8983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,leg1-descent,846.8983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,905.3983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,963.8983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,1022.3983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,1080.8983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,1139.3983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,1197.8983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,1256.3983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,S001-handoff,1314.8983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,leg2-climb,1314.8983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-001,leg2-climb,1350.521014892242,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
Q2-001,leg2-cruise,1350.521014892242,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
Q2-001,leg2-cruise,1401.5778703303904,109.24013685,23.0273219,273.0566101074219,2300.9848577480416,107.29250004795173,True,117.29250004795173,122.0,True,
Q2-001,leg2-cruise,1452.6347257685388,109.2370418,23.0210511,273.0566101074219,1536.8389140156492,103.7867918079043,False,103.7867918079043,122.0,True,
Q2-001,leg2-cruise,1503.6915812066873,109.23394675,23.014780299999998,273.0566101074219,776.0533722921132,97.8520566432842,False,97.8520566432842,122.0,True,
Q2-001,leg2-cruise,1554.7484366448357,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q2-001,leg2-descent,1554.7484366448357,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q2-001,leg2-descent,1591.0875891716912,109.2308517,23.0085095,200.37830505371093,52.67830505371094,74.48686069242545,False,74.48686069242545,122.0,True,
Q2-001,leg2-descent,1627.4267416985467,109.2308517,23.0085095,127.69999999999999,20.0,66.07482474751174,False,66.07482474751174,122.0,True,
Q2-002,leg1-climb,420.0,109.2308517,23.0085095,127.7,19.999999999999986,66.07482474751174,False,66.07482474751174,122.0,True,
Q2-002,leg1-climb,478.14264404296875,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q2-002,leg1-cruise,478.14264404296875,109.2308517,23.0085095,273.0566101074219,125.35661010742189,82.01716962285145,False,82.01716962285145,122.0,True,
Q2-002,leg1-cruise,529.1994994811172,109.23394675,23.014780299999998,273.0566101074219,776.0533722921132,97.8520566432842,False,97.8520566432842,122.0,True,
Q2-002,leg1-cruise,580.2563549192656,109.2370418,23.0210511,273.0566101074219,1536.8389140156492,103.7867918079043,False,103.7867918079043,122.0,True,
Q2-002,leg1-cruise,631.313210357414,109.24013685,23.0273219,273.0566101074219,2300.9848577480416,107.29250004795173,True,117.29250004795173,122.0,True,
Q2-002,leg1-cruise,682.3700657955625,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
Q2-002,leg1-descent,682.3700657955625,109.2432319,23.0335927,273.0566101074219,3065.975086939354,109.78559726632969,True,119.78559726632969,122.0,True,
Q2-002,S001-handoff,726.8983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-002,leg1-descent,726.8983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-002,S001-handoff,780.8983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-002,S001-handoff,834.8983708492734,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-002,S001-handoff,888.8983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
Q2-002,S001-handoff,942.8983708492733,109.2432319,23.0335927,184.0,3063.6263878017426,109.77894086539243,True,119.77894086539243,122.0,True,
