covered_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s,relay_sortie,relay_drone,energy_component
"[1, 4, 6, 7, 8, 9, 12, 13, 14, 17, 22]","Q2-008,Q2-009,Q2-010,Q2-011,Q2-012,Q2-013,Q2-018,Q2-021,Q2-022,Q2-023,Q2-024",803.9626477115796,8000.946961477172,152.17655200317665,109.2795646,23.027845,356.48876953125,656.48876953125,300.0,2.467883586327782,22.87863792725682,8469.345741816924,441.78609570840297,468.39878033975066,R3-001,R01,RE-01
"[2, 3, 5, 10, 12, 15, 16, 17, 18, 21]","Q2-012,Q2-013,Q2-014,Q2-015,Q2-016,Q2-017,Q2-019,Q2-020,Q2-026,Q2-028",922.5291497834601,7844.322975131394,306.6599181987664,109.2028191,23.0394186,507.341552734375,657.341552734375,150.0,2.3530409514568538,26.467470266973326,8285.995669443952,405.8692315846937,441.6726943125583,R3-002,R02,RE-02
