gap_id,sortie,start_s,end_s,direct_available,reason
11,Q2-018,1598.3852900958318,2437.2637521045094,False,
19,Q2-026,4933.85606506257,5781.820768795629,False,
20,Q2-027,3740.6617225335362,4427.359343313498,False,
23,Q2-030,6277.5661891867285,7201.404039791414,False,
24,Q2-031,7961.602396441913,8988.86208053246,False,
