sortie,phase,start_s,end_s,direct_available,reason,gap_id
Q2-007,leg1-climb,360.0,439.4659464518229,True,,
Q2-001,leg1-climb,390.0,492.6455118815104,True,,
Q2-002,leg1-climb,390.0,514.7101582845053,True,,
Q2-005,leg1-climb,390.0,498.5927294921875,True,,
Q2-008,leg1-climb,390.0,438.45220336914065,True,,
Q2-008,leg1-cruise,438.45220336914065,693.7364805598828,True,,
Q2-007,leg1-cruise,439.4659464518229,704.5520554731477,True,,
Q2-001,leg1-cruise,492.6455118815104,651.9268419355427,True,,
Q2-005,leg1-cruise,498.5927294921875,660.2162961558483,True,,
Q2-002,leg1-cruise,514.7101582845053,665.8377548840872,True,,
Q2-016,leg1-climb,540.0,598.1426440429688,True,,
Q2-016,leg1-cruise,598.1426440429688,802.3700657955625,True,,
Q2-001,leg1-cruise,651.9268419355427,811.208171989575,False,,1
Q2-005,leg1-cruise,660.2162961558483,821.8398628195092,False,,2
Q2-002,leg1-cruise,665.8377548840872,816.9653514836691,False,,3
Q2-008,leg1-descent,693.7364805598828,729.3591246028516,True,,
Q2-007,leg1-descent,704.5520554731477,725.0711912153351,True,,
Q2-007,S006-handoff,725.0711912153351,935.0711912153351,True,,
Q2-008,S001-handoff,729.3591246028516,969.3591246028516,True,,
Q2-016,leg1-descent,802.3700657955625,846.8983708492734,True,,
Q2-001,leg1-descent,811.208171989575,844.8227862473875,False,,1
Q2-002,leg1-descent,816.9653514836691,878.2975414250753,False,,3
Q2-005,leg1-descent,821.8398628195092,845.5807746847436,False,,2
Q2-001,S010-handoff,844.8227862473875,1054.8227862473875,False,,1
Q2-005,S013-handoff,845.5807746847436,1097.5807746847436,False,,2
Q2-016,S001-handoff,846.8983708492734,1314.8983708492733,True,,
Q2-002,S007-handoff,878.2975414250753,1088.2975414250755,False,,3
Q2-007,leg2-climb,935.0711912153351,952.1704710004914,True,,
Q2-007,leg2-cruise,952.1704710004914,1217.256580021816,True,,
Q2-008,leg2-climb,969.3591246028516,999.0446613053256,True,,
Q2-008,leg2-cruise,999.0446613053256,1254.3289384960676,True,,
Q2-001,leg2-climb,1054.8227862473875,1116.810642285799,False,,1
Q2-002,leg2-climb,1088.2975414250755,1139.7702790552837,False,,3
Q2-005,leg2-climb,1097.5807746847436,1105.584002223806,False,,2
Q2-005,leg2-cruise,1105.584002223806,1320.162227991069,False,,2
Q2-001,leg2-cruise,1116.810642285799,1234.0353614864703,False,,1
Q2-002,leg2-cruise,1139.7702790552837,1288.3291312913339,False,,3
Q2-007,leg2-descent,1217.256580021816,1312.6157157640037,True,,
Q2-001,leg2-descent,1234.0353614864703,1308.660788732564,False,,1
Q2-008,leg2-descent,1254.3289384960676,1312.4715825390363,True,,
Q2-002,leg2-descent,1288.3291312913339,1299.696416447584,False,,3
Q2-002,S015-handoff,1299.696416447584,1479.696416447584,False,,3
