中继架次编号,中继无人机编号,能源组件编号,准备开始时刻（s）,建链完成/服务开始（s）,服务结束时刻（s）,返回O01时刻（s）,机体再次可用（s）,能源组件再次可用（s）,架次能耗（kWh）,返航SOC（%）
RU-001,R01,RE-01,8.44458569527194,740.0,2984.0,3551.3541773255615,3851.3541773255615,4453.189164437051,0.9891322759667429,69.08961637603929
RU-002,R02,RE-02,261.20723706088285,757.0,1179.0,1491.9812100012916,1791.9812100012916,2077.8769483396895,0.29759783534648776,90.70006764542225
RU-003,R02,RE-03,1792.593424752412,2556.0,3641.0,4245.117345918161,4545.117345918161,5009.6546762552125,0.6511688131373585,79.65097458945755
RU-004,R01,RE-02,3874.6041695052736,4360.0,4902.0,5206.5910689896,5506.5910689896,5838.9947557914775,0.32591676751231424,89.81510101524019
RU-005,R02,RE-01,4649.5777415373595,5563.0,6745.0,7524.132235676182,7824.132235676182,8331.016834286609,0.7554082427333602,76.3934924145825
RU-006,R01,RE-03,5507.250849460765,6164.0,7134.0,7621.916489609874,7921.916489609874,8347.790316023309,0.5559971111715352,82.62509027588952
