电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
B-B01,B,Q23-017,0.0,1510.400941459331,54.38665643459812,1510.400941459331,2967.6988965929636
B-B01,B,Q23-011,3375.0,5340.8901119942975,25.350495996215884,5340.8901119942975,7301.481514726555
B-B01,B,Q23-015,7422.0,8608.678806680371,73.10085469680378,8608.678806680371,9741.597325269106
B-B02,B,Q23-018,1511.0,3379.5984478690452,46.56918206451104,3379.5984478690452,4972.399292084187
B-B02,B,Q23-012,5210.0,7115.8901119942975,30.664349173220316,7115.8901119942975,8984.374726325146
B-B03,B,Q23-014,0.0,1554.5722391614418,54.47488984981588,1554.5722391614418,3010.3408150979667
B-B03,B,Q23-019,3380.0,5209.57410101601,42.228856709371385,5209.57410101601,6877.607251386906
B-B03,B,Q23-013,7116.0,8676.779790547109,47.439223044067646,8676.779790547109,10254.499924449936
B-B04,B,Q23-003,1555.0,3374.8900418657418,31.95254946986075,3374.8900418657418,5221.045851054822
B-B04,B,Q23-005,5341.0,7421.242812051227,30.522455368554592,7421.242812051227,9292.186918996282
C-B01,C,Q23-016,1890.0,3931.6517322764666,38.41111130736559,3931.6517322764666,6099.410987283545
C-B01,C,Q23-006,6238.0,8607.810858112425,27.958980263762957,8607.810858112425,11002.032952397562
C-B02,C,Q23-010,0.0,1889.2252411346556,57.45894448256449,1889.2252411346556,3644.281444012425
C-B02,C,Q23-007,3932.0,6237.185491467791,22.789267415106764,6237.185491467791,8743.418030807145
C-B03,C,Q23-009,0.0,1560.8638852739632,67.57581332093785,1560.8638852739632,3096.72126332031
C-B03,C,Q23-002,3123.0,4750.426741698547,62.44172425815522,4750.426741698547,6397.522716105184
C-B03,C,Q23-008,6797.0,8677.045617096052,47.01581169315732,8677.045617096052,10658.369697077644
C-B04,C,Q23-001,1561.0,3122.4267416985467,63.42203261360152,3122.4267416985467,4748.28270173718
C-B04,C,Q23-004,4751.0,6796.008126582538,28.258329934426328,6796.008126582538,9183.744311336635
