method,sortie_count,makespan_s,weighted_all_expected_tardiness,total_energy_kwh,nondominated
cp_sat,18,9577.810858112427,360277.16162622423,60.65621243255153,True
cp_sat,19,8677.045617096052,141346.21050074592,61.30585826459298,True
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,19,9875.461999202495,314906.2095993635,60.55816714751669,True
heuristic,19,9875.461999202495,314906.2095993635,60.55816714751669,True
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
cp_sat,18,9577.810858112427,360277.16162622423,60.65621243255153,True
cp_sat,19,8677.045617096052,141346.21050074592,61.30585826459298,True
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,19,9875.461999202495,314906.2095993635,60.55816714751669,True
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
cp_sat,18,9577.810858112427,360277.16162622423,60.65621243255153,True
cp_sat,18,9577.810858112427,360277.16162622423,60.65621243255153,True
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
heuristic,18,10637.578633572322,445798.4045458401,60.656212432551534,False
