K,group,resource,task_id,start_s,end_s,half_open
3,2,C_battery,P00052,4814.0,8425.059292825033,True
3,1,C_battery,P00118,2112.0,6520.46286200132,True
3,1,relay_airframe,RU-001,71.44458569527194,3359.3541773255615,True
3,1,relay_airframe,RU-002,1690.78248886549,5080.069623968169,True
3,1,relay_airframe,RU-003,3692.768565606437,6805.849413824716,True
3,2,relay_airframe,RU-004,5082.604169505274,6812.5910689896,True
3,1,relay_energy,RU-001,71.44458569527194,3892.2959352703842,True
3,1,relay_energy,RU-002,1690.78248886549,5614.672945332953,True
3,1,relay_energy,RU-003,3692.768565606437,7325.1923824798205,True
3,2,relay_energy,RU-004,5082.604169505274,7157.159686347033,True
