K,group,sites,A_airframe,B_airframe,C_airframe,A_battery,B_battery,C_battery,relay_airframe,relay_energy,transport_sorties,relay_sorties,site_count,sortie_count,transport_flight_time_s,box_count,relay_time_s,transport_energy_kwh,relay_energy_kwh,transport_flight_time_mean_s,transport_flight_time_min_s,transport_flight_time_max_s,transport_flight_time_cv,relay_service_time_mean_s,relay_service_time_min_s,relay_service_time_max_s,relay_service_time_cv,sortie_count_mean,sortie_count_min,sortie_count_max,sortie_count_cv
2,1,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015",4,2,2,6,4,4,2,3,"P00009,P00014,P00020,P00024,P00026,P00028,P00030,P00032,P00035,P00037,P00040,P00041,P00044,P00049,P00052,P00053,P00057,P00071,P00089,P00107,P00118,P00137,P00140,P00143,P00146","RU-001,RU-002,RU-003,RU-004",14,25,34249.72466149847,77,5218.0,68.18034857405036,2.7851240992545065,17524.677733031476,799.6308045644855,34249.72466149847,0.9543711549652468,2609.0,0,5218.0,1.0,13.0,1,25,0.9230769230769231
2,2,S011,0,1,0,0,1,0,0,0,P00018,,1,1,799.6308045644855,3,0,1.0771461381899774,0,17524.677733031476,799.6308045644855,34249.72466149847,0.9543711549652468,2609.0,0,5218.0,1.0,13.0,1,25,0.9230769230769231
3,1,"S001,S002,S003,S004,S006,S007,S008,S009,S010,S012,S013,S014,S015",4,2,2,6,4,4,2,3,"P00009,P00014,P00020,P00024,P00026,P00028,P00030,P00032,P00035,P00037,P00040,P00041,P00044,P00053,P00057,P00071,P00089,P00107,P00118,P00137,P00140,P00143,P00146","RU-001,RU-002,RU-003",13,23,31585.91971915865,71,4578.0,62.24896453905301,2.4292628872977478,11683.11848868765,799.6308045644855,31585.91971915865,1.2063532695882344,1739.3333333333333,0,4578.0,1.1637643494484344,8.666666666666666,1,23,1.1703941580540722
3,2,S005,1,0,1,1,0,1,1,1,"P00049,P00052",RU-004,1,2,2663.804942339816,6,640.0,5.9313840349973255,0.3558612119567587,11683.11848868765,799.6308045644855,31585.91971915865,1.2063532695882344,1739.3333333333333,0,4578.0,1.1637643494484344,8.666666666666666,1,23,1.1703941580540722
3,3,S011,0,1,0,0,1,0,0,0,P00018,,1,1,799.6308045644855,3,0,1.0771461381899774,0,11683.11848868765,799.6308045644855,31585.91971915865,1.2063532695882344,1739.3333333333333,0,4578.0,1.1637643494484344,8.666666666666666,1,23,1.1703941580540722
