架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00009,U08,C,C-B04,2135.0,2615.0,4440.185491467791,S004,6.176858606791459,22.789267415106764,6,6946.4180308071445
P00010,U08,C,C-B02,4628.0,5108.0,6508.045617096052,S005,4.238735064547415,47.01581169315732,6,8489.369697077644
P00014,U05,B,B-B01,2960.0,3350.0,4520.77979054711,S009,2.102431078237294,47.439223044067646,3,6098.499924449938
P00018,U06,B,B-B04,5791.0,6181.0,6980.6308045644855,S011,1.0771461381899774,73.07134654525056,3,8114.060797780143
P00020,U06,B,B-B02,92.0,482.0,2015.8014006521175,S012,2.7551934702444854,31.120163243887866,3,3876.3852377580615
P00024,U05,B,B-B03,1091.0,1481.0,2959.5984478690452,S014,2.1372327174195584,46.56918206451104,3,4552.399292084187
P00026,U06,B,B-B02,3961.0,4351.0,5790.574101016009,S015,2.3108457316251445,42.228856709371385,3,7458.607251386905
P00028,U05,B,B-B03,4553.0,4943.0,6518.890111994297,S008,2.9859801601513647,25.350495996215884,3,8479.481514726554
P00030,U06,B,B-B04,2016.0,2376.0,3921.890111994297,S008,2.7734260330711873,30.664349173220316,2,5790.374726325144
P00032,U04,A,A-B01,2192.0,2582.0,3504.4715825390367,S001,1.2679999605907624,71.82222309798306,3,4370.782682265257
P00035,U07,C,C-B01,0.0,540.0,1627.4267416985467,S001,3.004662059347582,62.44172425815522,8,3274.522716105184
P00037,U04,A,A-B04,93.0,453.0,2100.732659143701,S002,2.9291056520786074,34.90876328714205,2,3446.918736410854
P00040,U08,C,C-B02,23.0,503.0,2134.0081265825384,S002,6.12498843027008,23.437644621624,6,4626.192493114018
P00041,U03,A,A-B05,3921.0,4281.0,6183.278664396717,S003,2.98110828373102,33.75314925042178,2,7544.487724141234
P00044,U07,C,C-B01,4042.0,4522.0,6477.810858112425,S003,6.1476824567455175,23.153969290681033,6,8976.141523481003
P00053,U01,A,A-B01,0.0,360.0,1312.6157157640037,S006,1.3095542466968424,70.89879451784795,2,2190.93138703198
P00057,U03,A,A-B02,2068.0,2428.0,3795.3186397361906,S007,1.9050428648829452,57.665714113712326,2,4845.66435625793
P00071,U01,A,A-B06,1314.0,1674.0,2967.853569215474,S010,1.9524999797660452,56.61111156075456,2,4031.909118925665
P00089,U02,A,A-B05,1225.0,1585.0,2837.024508122992,S013,1.9577132427346737,56.495261272562814,2,3902.586111579675
P00107,U03,A,A-B03,58.0,418.0,2067.9934553294233,S013→S010,2.2463659463996954,50.08075674667343,2,3216.943617622669
P00118,U07,C,C-B03,1628.0,2138.0,4041.779412820788,S006→S007,4.28806196620504,46.399225422437,7,6036.46286200132
P00137,U02,A,A-B04,3450.0,3780.0,4642.471582539037,S001,1.22305291301593,72.82104637742377,1,5495.797979632528
P00140,U01,A,A-B03,3217.0,3547.0,4409.471582539037,S001,1.22305291301593,72.82104637742377,1,5262.797979632528
P00143,U02,A,A-B02,7.0,337.0,1199.4715825390365,S001,1.22305291301593,72.82104637742377,1,2052.7979796325276
P00147,U05,B,B-B01,0.0,330.0,1090.3578716627396,S001,1.0098607131961077,74.75348217009731,1,2194.6308473810527
