reserve_fraction,box_count,flight_count,total_energy_kwh,total_work_time_s
0.1,80,18,59.23198592446156,32777.29117378634
0.15,80,18,59.23198592446156,32777.29117378634
0.2,80,18,59.23198592446156,32777.29117378634
0.25,80,19,61.18140067935332,34571.06360983421
0.3,80,20,67.3494393357804,36595.6398526065
