架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00001,U07,C,C-B01,0.0,510.0,1561.4267416985467,S001,2.9262373909118784,63.42203261360152,7,3187.2827017371806
P00002,U07,C,C-B03,1562.0,2102.0,3189.4267416985467,S001,3.004662059347582,62.44172425815522,8,4836.522716105184
P00006,U06,B,B-B02,4229.0,4619.0,6309.242812051228,S003,2.7791017852578164,30.522455368554592,3,8180.186918996282
P00008,U08,C,C-B02,4605.0,5055.0,6974.810858112425,S003,5.7632815788989635,27.958980263762957,5,9369.032952397562
P00009,U08,C,C-B04,2112.0,2592.0,4417.185491467791,S004,6.176858606791459,22.789267415106764,6,6923.4180308071445
P00010,U07,C,C-B03,5643.0,6123.0,7523.045617096052,S005,4.238735064547415,47.01581169315732,6,9504.369697077644
P00014,U05,B,B-B03,5921.0,6311.0,7481.77979054711,S009,2.102431078237294,47.439223044067646,3,9059.499924449938
P00018,U06,B,B-B04,6310.0,6700.0,7499.6308045644855,S011,1.0771461381899774,73.07134654525056,3,8633.060797780143
P00020,U06,B,B-B02,69.0,459.0,1992.8014006521175,S012,2.7551934702444854,31.120163243887866,3,3853.3852377580615
P00024,U05,B,B-B01,23.0,413.0,1891.5984478690452,S014,2.1372327174195584,46.56918206451104,3,3484.3992920841874
P00026,U05,B,B-B03,2185.0,2575.0,4014.5741010160095,S015,2.3108457316251445,42.228856709371385,3,5682.607251386906
P00028,U06,B,B-B04,2263.0,2653.0,4228.890111994297,S008,2.9859801601513647,25.350495996215884,3,6189.481514726554
P00030,U05,B,B-B01,4015.0,4375.0,5920.890111994297,S008,2.7734260330711873,30.664349173220316,2,7789.374726325144
P00037,U04,A,A-B04,70.0,430.0,2077.732659143701,S002,2.9291056520786074,34.90876328714205,2,3423.918736410854
P00040,U08,C,C-B02,0.0,480.0,2111.0081265825384,S002,6.12498843027008,23.437644621624,6,4603.192493114018
P00053,U02,A,A-B05,1648.0,2008.0,2960.6157157640037,S006,1.3095542466968424,70.89879451784795,2,3838.93138703198
P00057,U01,A,A-B06,2203.0,2563.0,3930.3186397361906,S007,1.9050428648829452,57.665714113712326,2,4980.66435625793
P00071,U01,A,A-B01,19.0,379.0,1672.8535692154742,S010,1.9524999797660452,56.61111156075456,2,2736.909118925665
P00089,U02,A,A-B02,35.0,395.0,1647.0245081229918,S013,1.9577132427346737,56.495261272562814,2,2712.586111579675
P00107,U03,A,A-B03,35.0,395.0,2044.9934553294233,S013→S010,2.2463659463996954,50.08075674667343,2,3193.943617622669
P00118,U07,C,C-B01,3229.0,3739.0,5642.779412820788,S006→S007,4.28806196620504,46.399225422437,7,7637.46286200132
