运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00089,leg1-cruise,2836.2927176014014,2841.220265365537,中继,RU-001,122.34647628701813,122.0
P00071,leg2-descent,2838.053459939338,2846.325152754511,直连,,59.754112616226905,122.0
P00028,leg1-cruise,2839.76775813391,2844.738675047172,直连,,90.80341398537895,122.0
P00010,leg1-cruise,2840.569129369367,2845.3338931344606,直连,,105.50182922501995,122.0
P00014,S009-handoff,2840.569129369367,2850.098656899554,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2840.569129369367,2850.098656899554,直连,,93.81695013341482,122.0
P00037,leg2-cruise,2840.569129369367,2850.098656899554,直连,,120.66416124825807,122.0
P00040,S002-handoff,2840.569129369367,2850.098656899554,中继,RU-002,127.4805746284193,122.0
P00089,leg1-cruise,2841.220265365537,2846.1478131296735,中继,RU-001,122.47009966776534,122.0
P00028,leg1-cruise,2844.738675047172,2849.709591960434,直连,,92.18427861990322,122.0
P00010,leg1-cruise,2845.3338931344606,2850.098656899554,直连,,105.82581624935978,122.0
P00089,leg1-cruise,2846.1478131296735,2851.0753608938094,中继,RU-001,122.59199426569134,122.0
P00028,leg1-cruise,2849.709591960434,2854.680508873696,直连,,93.45680494449309,122.0
P00010,leg1-cruise,2850.098656899554,2854.8634206646475,直连,,106.13824767981885,122.0
P00014,S009-handoff,2850.098656899554,2859.628184429741,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2850.098656899554,2859.628184429741,直连,,95.60154801657508,122.0
P00037,leg2-cruise,2850.098656899554,2859.628184429741,直连,,120.36666643492164,122.0
P00040,S002-handoff,2850.098656899554,2859.628184429741,中继,RU-002,127.4805746284193,122.0
P00089,leg1-cruise,2851.0753608938094,2856.002908657945,中继,RU-001,122.71220759553424,122.0
P00028,leg1-cruise,2854.680508873696,2859.651425786958,直连,,94.61218544857846,122.0
P00010,leg1-cruise,2854.8634206646475,2859.628184429741,直连,,106.43991324369489,122.0
P00089,leg1-cruise,2856.002908657945,2860.930456422081,中继,RU-001,122.83078524643142,122.0
P00010,leg1-cruise,2859.628184429741,2864.3929481948344,直连,,106.73152497900674,122.0
P00014,S009-handoff,2859.628184429741,2869.1577119599283,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2859.628184429741,2869.1577119599283,直连,,97.093347667474,122.0
P00037,leg2-cruise,2859.628184429741,2869.1577119599283,直连,,120.05864605962691,122.0
P00040,S002-handoff,2859.628184429741,2869.1577119599283,中继,RU-002,127.4805746284193,122.0
P00028,leg1-cruise,2859.651425786958,2864.62234270022,直连,,95.65883142387908,122.0
P00089,leg1-cruise,2860.930456422081,2865.858004186217,中继,RU-001,122.94777098422713,122.0
P00010,leg1-cruise,2864.3929481948344,2869.1577119599283,直连,,107.01372702724771,122.0
P00028,leg1-cruise,2864.62234270022,2869.593259613482,直连,,96.60965822954924,122.0
P00089,leg1-cruise,2865.858004186217,2870.7855519503532,中继,RU-001,123.0632068470944,122.0
P00010,leg1-cruise,2869.1577119599283,2873.9224757250217,直连,,107.28710394155746,122.0
P00014,S009-handoff,2869.1577119599283,2878.687239490115,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2869.1577119599283,2878.687239490115,直连,,98.37227221576829,122.0
P00037,leg2-cruise,2869.1577119599283,2878.687239490115,直连,,119.73933003058426,122.0
P00040,S002-handoff,2869.1577119599283,2878.687239490115,中继,RU-002,127.4805746284193,122.0
P00028,leg1-cruise,2869.593259613482,2874.564176526744,直连,,97.47754435405629,122.0
P00089,leg1-cruise,2870.7855519503532,2875.7130997144895,中继,RU-001,123.17713323500165,122.0
P00010,leg1-cruise,2873.9224757250217,2878.687239490115,直连,,107.55218777045931,122.0
P00028,leg1-cruise,2874.564176526744,2879.535093440006,直连,,98.27392523381913,122.0
P00089,leg1-cruise,2875.7130997144895,2880.6406474786254,中继,RU-001,123.2895889934614,122.0
P00010,leg1-cruise,2878.687239490115,2883.4520032552086,直连,,107.80946412597507,122.0
P00014,S009-handoff,2878.687239490115,2888.216767020302,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2878.687239490115,2888.216767020302,直连,,99.49029831545907,122.0
P00037,leg2-cruise,2878.687239490115,2888.216767020302,直连,,119.40786078300229,122.0
P00040,S002-handoff,2878.687239490115,2888.216767020302,中继,RU-002,127.4805746284193,122.0
P00028,leg1-cruise,2879.535093440006,2884.5060103532683,直连,,99.00853157730835,122.0
P00089,leg1-cruise,2880.6406474786254,2885.5681952427612,中继,RU-001,123.4006114920295,122.0
P00010,leg1-cruise,2883.4520032552086,2888.216767020302,直连,,108.05937740490043,122.0
P00028,leg1-cruise,2884.5060103532683,2889.4769272665303,直连,,99.6895147636208,122.0
P00089,leg1-cruise,2885.5681952427612,2890.495743006897,中继,RU-001,123.51023669791851,122.0
P00010,leg1-cruise,2888.216767020302,2892.9815307853955,直连,,108.30233530032677,122.0
P00014,S009-handoff,2888.216767020302,2897.746294550489,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2888.216767020302,2897.746294550489,直连,,100.48278189922912,122.0
P00037,leg2-cruise,2888.216767020302,2897.746294550489,直连,,119.06327955335723,122.0
P00040,S002-handoff,2888.216767020302,2897.746294550489,中继,RU-002,127.4805746284193,122.0
P00028,leg1-cruise,2889.4769272665303,2894.4478441797924,直连,,100.32367664330727,122.0
P00089,leg1-cruise,2890.495743006897,2895.423290771033,中继,RU-001,123.6184992450937,122.0
P00010,leg1-cruise,2892.9815307853955,2897.746294550489,直连,,108.53871271551222,122.0
P00028,leg1-cruise,2894.4478441797924,2899.418761093054,直连,,100.91670256556166,122.0
P00089,leg1-cruise,2895.423290771033,2900.3508385351693,中继,RU-001,123.72543249917615,122.0
P00010,leg1-cruise,2897.746294550489,2902.5110583155824,直连,,108.76885517212763,122.0
P00014,S009-handoff,2897.746294550489,2907.275822080676,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2897.746294550489,2907.275822080676,直连,,101.37473743127393,122.0
P00037,leg2-cruise,2897.746294550489,2907.275822080676,直连,,118.70450986137531,122.0
P00040,S002-handoff,2897.746294550489,2907.275822080676,中继,RU-002,127.4805746284193,122.0
P00028,leg1-cruise,2899.418761093054,2904.389678006316,直连,,101.47336560399161,122.0
P00089,leg1-descent,2900.3508385351693,2909.8472032812633,中继,RU-001,123.77733662144614,122.0
P00010,leg1-cruise,2902.5110583155824,2907.275822080676,直连,,108.99308178893816,122.0
