中继架次编号,中继无人机编号,能源组件编号,准备开始时刻（s）,建链完成/服务开始（s）,服务结束时刻（s）,返回O01时刻（s）,机体再次可用（s）,能源组件再次可用（s）,架次能耗（kWh）,返航SOC（%）
RU-001,R02,RE-02,146.20045728484945,798.2335336526797,3224.0116068303564,3707.2014886181087,4007.2014886181087,4612.563463719959,0.9978140925584009,68.81830960754998
RU-002,R01,RE-01,37.640310014238594,884.8578211487485,5731.893724364826,6440.963348332994,6740.963348332994,7686.944390322689,1.8362610264361736,42.616842923869584
RU-003,R02,RE-03,4176.6680079187045,4994.899442312268,5841.754785849965,6480.604199674681,6780.604199674681,7236.746052119621,0.630503021402929,80.29678058115847
