中继架次编号,中继无人机编号,能源组件编号,准备开始时刻（s）,建链完成/服务开始（s）,服务结束时刻（s）,返回O01时刻（s）,机体再次可用（s）,能源组件再次可用（s）,架次能耗（kWh）,返航SOC（%）
RU-001,R01,RE-01,101.44458569527194,833.0,2521.0,3088.3541773255615,3388.3541773255615,3921.1718033259394,0.819243387077854,74.39864415381706
RU-002,R02,RE-02,1828.5777415373598,2742.0,4201.0,4980.132235676182,5280.132235676182,5821.40138289772,0.8400471316222491,73.74852713680473
RU-003,R01,RE-03,3905.78248886549,4753.0,6154.0,6863.069623968169,7163.069623968169,7681.287528666286,0.783305611564594,75.52169963860645
