电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
A-B01,A,P00134,0.0,1192.4715825390365,72.82104637742377,1192.4715825390365,2045.7979796325276
A-B01,A,P00053,2045.7979796325276,3358.4136953965312,70.89879451784795,3358.4136953965312,4236.729366664508
A-B01,A,P00107,4236.729366664508,6246.722821993932,50.08075674667343,6246.722821993932,7395.672984287177
A-B02,A,P00355,0.0,1252.4715825390365,71.42106323441736,1252.4715825390365,2123.9977604916107
A-B02,A,P00037,2123.9977604916107,4131.730419635312,34.90876328714205,4131.730419635312,5477.916496902465
A-B03,A,P00071,0.0,1653.8535692154742,56.61111156075456,1653.8535692154742,2717.909118925665
A-B03,A,P00131,2717.909118925665,3910.380701464702,72.82104637742377,3910.380701464702,4763.707098558193
A-B03,A,P00077,4763.707098558193,5987.242960627733,74.32299116986371,5987.242960627733,6821.044075419504
A-B04,A,P00057,0.0,1727.3186397361908,57.665714113712326,1727.3186397361908,2777.66435625793
A-B04,A,P00128,2804.496090662028,3996.967673201065,72.82104637742377,3996.967673201065,4850.294070294556
A-B04,A,P00080,5127.013590048056,6290.549452117595,75.4499543406507,6290.549452117595,7109.7000456891365
A-B05,A,P00089,1192.4715825390365,2804.496090662028,56.495261272562814,2804.496090662028,3870.0576941187114
A-B05,A,P00041,3910.380701464702,6172.659365861418,33.75314925042178,6172.659365861418,7533.868425605935
A-B06,A,P00032,1252.4715825390365,2564.943165078073,71.82222309798306,2564.943165078073,3431.254264804293
A-B06,A,P00049,3431.254264804293,5127.013590048056,52.678058085514266,5127.013590048056,6242.198834936371
B-B01,B,P00026,0.0,1829.5741010160095,42.228856709371385,1829.5741010160095,3497.607251386906
B-B01,B,P00028,3753.375501668127,5719.265613662425,25.350495996215884,5719.265613662425,7679.857016394682
B-B02,B,P00030,0.0,1905.890111994297,30.664349173220316,1905.890111994297,3774.374726325145
B-B02,B,P00014,3774.4885598633423,5335.2683504104525,47.439223044067646,5335.2683504104525,6912.98848431328
B-B03,B,P00020,1829.5741010160095,3753.375501668127,31.120163243887866,3753.375501668127,5613.959338774071
B-B04,B,P00024,1905.890111994297,3774.4885598633423,46.56918206451104,3774.4885598633423,5367.289404078484
C-B01,C,P00417,0.0,1561.4267416985467,65.89437662491494,1561.4267416985467,3133.7152481587227
C-B01,C,P00044,3859.0537436785908,6294.864601791016,23.153969290681033,6294.864601791016,8793.195267159594
C-B02,C,P00052,0.0,1748.0456170960524,52.47629188943166,1748.0456170960524,3611.059292825033
C-B02,C,P00009,3975.2061545193346,6280.391645987125,22.789267415106764,6280.391645987125,8786.624185326478
C-B03,C,P00118,1561.4267416985467,3975.2061545193346,46.399225422437,3975.2061545193346,5969.889603699867
C-B04,C,P00040,1748.0456170960524,3859.0537436785908,23.437644621624,3859.0537436785908,6351.238110210071
