中继架次编号,中继无人机编号,能源组件编号,准备开始时刻（s）,建链完成/服务开始（s）,服务结束时刻（s）,返回O01时刻（s）,机体再次可用（s）,能源组件再次可用（s）,架次能耗（kWh）,返航SOC（%）
RU-001,R02,RE-02,289.6041695052735,775.0,1179.0,1483.5910689895995,1783.5910689895995,2042.2240800294678,0.28375010084564756,91.13280934857352
RU-002,R01,RE-01,143.9669236321697,796.0,1609.0,2092.1898817877523,2392.1898817877523,2797.354578708693,0.5050207924207775,84.2181002368507
RU-003,R02,RE-03,1784.78248886549,2632.0,3549.0,4258.069623968169,4558.069623968169,5016.207667555174,0.6354167226757051,80.14322741638422
RU-004,R01,RE-01,3416.768565606437,4235.0,5083.0,5721.849413824716,6021.849413824716,6478.133354702042,0.6308527775441882,80.28585070174412
RU-005,R02,RE-02,5212.78248886549,6060.0,7112.0,7821.069623968169,8121.069623968169,8595.965480055174,0.6766667226757052,78.85416491638422
