架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00002,U08,C,C-B02,0.0,540.0,1627.4267416985467,S001,3.004662059347582,62.44172425815522,8,3274.522716105184
P00009,U07,C,C-B02,4148.0,4628.0,6453.185491467791,S004,6.176858606791459,22.789267415106764,6,8959.418030807145
P00010,U08,C,C-B04,1628.0,2108.0,3508.0456170960524,S005,4.238735064547415,47.01581169315732,6,5489.369697077644
P00011,U07,C,C-B01,0.0,480.0,1560.8638852739632,S006,2.593934934324972,67.57581332093785,6,3096.72126332031
P00014,U05,B,B-B01,3829.0,4219.0,5389.77979054711,S009,2.102431078237294,47.439223044067646,3,6967.499924449938
P00018,U05,B,B-B03,5498.0,5888.0,6687.6308045644855,S011,1.0771461381899774,73.07134654525056,3,7821.060797780143
P00020,U06,B,B-B02,5.0,395.0,1928.8014006521175,S012,2.7551934702444854,31.120163243887866,3,3789.3852377580615
P00024,U05,B,B-B01,0.0,390.0,1868.5984478690452,S014,2.1372327174195584,46.56918206451104,3,3461.3992920841874
P00026,U05,B,B-B03,1999.0,2389.0,3828.5741010160095,S015,2.3108457316251445,42.228856709371385,3,5496.607251386906
P00028,U06,B,B-B04,2235.0,2625.0,4200.890111994297,S008,2.9859801601513647,25.350495996215884,3,6161.481514726554
P00030,U06,B,B-B02,4428.0,4788.0,6333.890111994297,S008,2.7734260330711873,30.664349173220316,2,8202.374726325144
P00032,U04,A,A-B04,24.0,414.0,1336.4715825390365,S001,1.2679999605907624,71.82222309798306,3,2202.782682265257
P00037,U03,A,A-B04,2204.0,2564.0,4211.732659143701,S002,2.9291056520786074,34.90876328714205,2,5557.918736410855
P00040,U07,C,C-B03,1562.0,2042.0,3673.0081265825384,S002,6.12498843027008,23.437644621624,6,6165.192493114018
P00041,U01,A,A-B06,4210.0,4570.0,6472.278664396717,S003,2.98110828373102,33.75314925042178,2,7833.487724141234
P00044,U08,C,C-B01,3509.0,3989.0,5944.810858112425,S003,6.1476824567455175,23.153969290681033,6,8443.141523481003
P00057,U04,A,A-B06,1431.0,1791.0,3158.3186397361906,S007,1.9050428648829452,57.665714113712326,2,4208.66435625793
P00071,U02,A,A-B02,0.0,360.0,1653.8535692154742,S010,1.9524999797660452,56.61111156075456,2,2717.909118925665
P00089,U02,A,A-B01,2054.0,2414.0,3666.024508122992,S013,1.9577132427346737,56.495261272562814,2,4731.586111579675
P00107,U03,A,A-B03,0.0,360.0,2009.9934553294233,S013→S010,2.2463659463996954,50.08075674667343,2,3158.943617622669
P00128,U01,A,A-B01,0.0,330.0,1192.4715825390365,S001,1.22305291301593,72.82104637742377,1,2045.7979796325276
P00131,U01,A,A-B02,2719.0,3049.0,3911.4715825390367,S001,1.22305291301593,72.82104637742377,1,4764.797979632528
P00134,U04,A,A-B03,3159.0,3489.0,4351.471582539037,S001,1.22305291301593,72.82104637742377,1,5204.797979632528
P00137,U01,A,A-B05,1337.0,1667.0,2529.4715825390367,S001,1.22305291301593,72.82104637742377,1,3382.7979796325276
P00272,U02,A,A-B05,3667.0,3997.0,5334.318639736191,S007,1.8722535568068988,58.394365404291136,1,6375.191889480406
P00275,U04,A,A-B02,4766.0,5096.0,6433.318639736191,S007,1.8195296211705392,59.56600841843247,1,7458.960530296568
P00278,U03,A,A-B01,4733.0,5063.0,6400.318639736191,S007,1.8056190044402682,59.8751332346607,1,7421.941907685601
