sortie,time_s,direct_available,direct_margin_db,access_margin_db,backhaul_margin_db
P00009,4519.261326660209,True,45.92517525248826,,
P00009,4532.788284973198,True,59.13725121365483,,
P00009,4546.315243286186,True,48.387289781368736,,
P00009,4559.842201599175,True,43.72772013562596,,
P00009,4573.369159912163,True,40.711480714857345,,
P00009,4586.8961182251505,True,38.476980879331265,,
P00009,4600.423076538139,True,36.701293305217035,,
P00009,4613.950034851127,True,35.22772436685122,,
P00009,4627.476993164116,True,33.968262608738186,,
P00009,4627.476993164116,True,33.968262608738186,,
P00009,4642.230635909833,True,31.46346125022444,,
P00009,4656.98427865555,True,27.818251751535527,,
P00009,4671.737921401268,True,24.92531888193652,,
P00009,4686.491564146985,True,22.670094964334865,,
P00009,4701.245206892702,True,20.849421036015244,,
P00009,4715.998849638419,True,19.330996489153776,,
P00009,4730.752492384137,True,18.031853028077947,,
P00009,4745.506135129855,True,16.89803753991977,,
P00009,4760.259777875572,True,15.892919399903093,,
P00009,4775.013420621289,True,14.990642207644214,,
P00009,4789.767063367006,True,14.17233755940154,,
P00009,4804.520706112724,True,13.423843406215,,
P00009,4819.274348858441,True,12.734273129098483,,
P00009,4834.027991604158,True,12.095085298520644,,
P00009,4848.781634349875,True,11.499459435035561,,
P00009,4863.535277095593,True,10.941865271848627,,
P00009,4878.28891984131,True,10.417758157078836,,
P00009,4893.0425625870275,True,9.923358937667828,,
P00009,4907.796205332745,True,9.455491803792825,,
P00009,4922.549848078463,True,9.011462763296876,,
P00009,4937.30349082418,True,8.58896715268655,,
P00009,4952.057133569897,True,8.186018263293263,,
P00009,4966.810776315614,True,7.800891565697469,,
P00009,4981.564419061331,True,7.432080622760552,,
P00009,4996.318061807049,True,7.078261876432407,9.03766533592838,8.155875537625676
P00009,5011.071704552766,False,-3.2617337478056214,9.950867773730764,8.155875537625676
P00009,5025.825347298483,False,-3.588943940906077,10.971196969172837,8.155875537625676
P00009,5040.5789900442005,False,-3.9042939551349747,12.127069515311149,8.155875537625676
P00009,5055.3326327899185,False,-4.208612258207921,13.459900884117289,8.155875537625676
P00009,5070.086275535636,False,-4.502643558593576,15.033420339482674,8.155875537625676
P00009,5084.839918281353,False,-4.787059713816461,16.953078124833766,8.155875537625676
P00009,5099.59356102707,False,-5.062468921134638,19.41205953513216,8.155875537625676
P00009,5114.347203772788,False,-5.329423504858454,22.8221572817683,8.155875537625676
P00009,5129.100846518505,False,-5.588426549540216,28.2845785553602,8.155875537625676
P00009,5143.854489264222,False,-5.839937578180837,36.22139857266747,8.155875537625676
P00009,5143.854489264222,False,-5.839937578180837,36.22139857266747,8.155875537625676
P00009,5158.016086452536,False,-5.838969211261698,33.993703761495226,8.155875537625676
P00009,5172.17768364085,False,-5.838116697145097,32.22230757486578,8.155875537625676
P00009,5186.339280829164,False,-5.83738010410832,30.751691994032072,8.155875537625676
P00009,5200.500878017478,False,-5.836759491169772,29.49438694835989,8.155875537625676
P00009,5214.662475205791,False,-5.8362549080733,28.396278502331583,8.155875537625676
P00009,5228.824072394105,False,-5.835866395274849,27.421545818711564,8.155875537625676
P00009,5228.824072394105,False,-5.835866395274849,27.421545818711564,8.155875537625676
P00009,5243.490739060772,False,-5.835866395274849,27.421545818711564,8.155875537625676
P00009,5258.157405727438,False,-5.835866395274849,27.421545818711564,8.155875537625676
P00009,5272.824072394105,False,-5.835866395274849,27.421545818711564,8.155875537625676
P00009,5287.490739060772,False,-5.835866395274849,27.421545818711564,8.155875537625676
P00009,5302.157405727438,False,-5.835866395274849,27.421545818711564,8.155875537625676
