K,group,resource,task_id,start_s,end_s,half_open
3,1,C_battery,P00001,0.0,3187.2827017371806,True
3,1,C_battery,P00002,0.0,3274.522716105184,True
3,1,C_battery,P00005,1852.0,6284.744311336634,True
3,1,C_battery,P00009,3280.0,8091.4180308071445,True
3,1,C_battery,P00010,5586.0,9447.369697077644,True
3,2,C_battery,P00011,1563.0,4659.72126332031,True
3,1,C_battery,P00044,5150.0,10084.141523481003,True
3,1,relay_airframe,RU-001,289.6041695052735,1783.5910689895995,True
3,1,relay_airframe,RU-002,143.9669236321697,2392.1898817877523,True
3,1,relay_airframe,RU-003,1784.78248886549,4558.069623968169,True
3,1,relay_airframe,RU-004,3416.768565606437,6021.849413824716,True
3,1,relay_airframe,RU-005,5212.78248886549,8121.069623968169,True
3,1,relay_energy,RU-001,289.6041695052735,2042.2240800294678,True
3,1,relay_energy,RU-002,143.9669236321697,2797.354578708693,True
3,1,relay_energy,RU-003,1784.78248886549,5016.207667555174,True
3,1,relay_energy,RU-004,3416.768565606437,6478.133354702042,True
3,1,relay_energy,RU-005,5212.78248886549,8595.965480055174,True
