K,group,resource,task_id,start_s,end_s,half_open,shared_across_groups
3,3,B_battery,P00018,5292.0,7615.060797780143,True,False
3,1,B_battery,P00020,57.0,3841.3852377580615,True,False
3,1,B_battery,P00024,0.0,3461.3992920841874,True,False
3,1,B_battery,P00026,3462.0,6959.607251386905,True,False
3,1,B_battery,P00028,1981.0,5907.481514726555,True,False
3,1,B_battery,P00030,4103.0,7877.374726325144,True,False
3,1,C_battery,P00009,3874.0,8685.418030807145,True,False
3,1,C_battery,P00010,1628.0,5489.369697077644,True,False
3,2,C_battery,P00011,0.0,3096.72126332031,True,False
3,1,C_battery,P00035,0.0,3274.522716105184,True,False
3,1,C_battery,P00040,1561.0,6164.192493114018,True,False
3,1,C_battery,P00044,3674.0,8608.141523481003,True,False
3,1,relay_airframe,RU-001,145.9669236321697,4009.1898817877523,True,False
3,1,relay_airframe,RU-002,36.78248886549011,6743.069623968169,True,False
3,1,relay_airframe,RU-003,4010.768565606437,6615.849413824716,True,False
3,1,relay_energy,RU-001,145.9669236321697,4614.827668986471,True,False
3,1,relay_energy,RU-002,36.78248886549011,7689.418605055174,True,False
3,1,relay_energy,RU-003,4010.768565606437,7072.133354702042,True,False
