run,iteration,sortie_count,makespan_s,weighted_lateness,energy_kwh,selected
run02,1,26,6406.045617096052,10904.906278485701,68.53472485580747,False
run02,2,27,6347.185491467791,664.3094952342217,70.23273800988476,False
run03,1,26,6347.810858112425,0.0,71.4465130464228,False
run03,2,26,6298.759325243764,0.0,71.65434106261525,True
