方案,可行,架次,总能耗（kWh）,完成时间（s）,加权迟到（全部期望时间）,全部期望时间准时率,硬截止合规率,说明
不跨区/balanced,True,31,81.82379438434599,10112.388551671855,114024.43336490939,0.8875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
不跨区/energy,True,31,78.96694314743418,15283.41089855333,310067.74172843597,0.8625,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
多点合并/balanced | 多点合并/energy,True,25,73.98537088598091,12569.271164984364,312706.1673999756,0.825,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
